date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,21,19,0.0,8.1,5,5,11,03:45 AM,05:08 PM,05:56 AM,06:50 PM,18,20,20,20,26,91,90,8.0,1009,21,10,317,19
2020-01-23,22,19,0.0,8.1,4,4,3,04:38 AM,06:01 PM,05:57 AM,06:50 PM,18,20,20,20,24,96,91,2.2,1009,22,9,331,18
2020-01-24,20,19,0.0,8.1,4,4,0,05:33 AM,06:51 PM,05:57 AM,06:50 PM,18,19,19,19,33,98,93,13.6,1009,20,9,328,23
2020-01-25,20,13,0.0,8.1,4,4,0,06:26 AM,07:37 PM,05:58 AM,06:50 PM,18,18,19,18,30,94,94,19.1,1011,20,7,319,21
2020-01-26,25,19,0.0,9.4,5,5,4,07:19 AM,08:19 PM,05:58 AM,06:50 PM,19,21,22,21,22,80,88,3.3,1012,25,10,306,16
2020-01-27,24,19,0.0,10.6,5,5,11,08:08 AM,08:59 PM,05:59 AM,06:50 PM,19,21,22,21,21,63,87,11.5,1013,24,9,324,13
2020-01-28,23,18,0.0,11.9,5,5,18,08:57 AM,09:36 PM,05:59 AM,06:49 PM,18,20,20,20,19,58,88,0.3,1014,23,8,321,14
2020-01-29,27,19,0.0,9.1,5,5,26,09:44 AM,10:11 PM,06:00 AM,06:49 PM,18,24,24,22,7,68,79,7.6,1014,27,10,15,5
2020-01-30,28,20,0.0,11.8,5,5,33,10:30 AM,10:46 PM,06:00 AM,06:49 PM,19,24,24,23,9,55,77,2.5,1015,28,10,69,7
2020-01-31,28,20,0.0,8.9,5,5,37,11:17 AM,11:22 PM,06:01 AM,06:49 PM,19,25,25,24,10,50,75,3.2,1015,28,10,76,7
2020-02-01,28,20,0.0,10.3,5,5,49,12:04 PM,11:59 PM,06:01 AM,06:49 PM,18,25,25,24,11,39,71,0.3,1014,28,10,31,8
2020-02-02,29,20,0.0,8.9,6,6,57,12:53 PM,No moonset,06:02 AM,06:48 PM,18,25,25,24,8,41,69,0.8,1014,29,10,64,6
2020-02-03,28,20,0.0,8.9,6,6,64,01:45 PM,12:39 AM,06:02 AM,06:48 PM,18,25,25,24,8,44,71,1.7,1013,28,10,71,6
2020-02-04,27,19,0.0,8.9,5,5,72,02:39 PM,01:24 AM,06:03 AM,06:48 PM,18,24,24,23,12,52,76,2.2,1013,27,10,319,8
2020-02-05,27,19,0.0,8.9,5,5,79,03:37 PM,02:12 AM,06:03 AM,06:48 PM,19,24,24,23,10,50,78,13.9,1013,27,9,303,7
2020-02-06,24,19,0.0,6.2,5,5,87,04:35 PM,03:07 AM,06:04 AM,06:47 PM,19,21,22,21,11,69,85,19.3,1013,24,8,336,7
2020-02-07,19,18,0.0,6.2,4,4,95,05:34 PM,04:06 AM,06:04 AM,06:47 PM,17,19,19,19,10,84,93,9.8,1013,19,7,22,8
2020-02-08,22,18,0.0,8.9,5,5,100,06:30 PM,05:09 AM,06:05 AM,06:47 PM,18,19,20,19,16,89,93,47.5,1012,22,6,175,10
2020-02-09,19,18,0.0,6.2,4,4,100,07:24 PM,06:13 AM,06:05 AM,06:46 PM,17,18,18,18,23,99,94,11.6,1015,19,8,349,16
2020-02-10,24,17,0.0,6.2,5,5,83,08:13 PM,07:16 AM,06:05 AM,06:46 PM,18,20,21,20,11,68,87,2.3,1017,24,7,264,9
2020-02-11,28,18,0.0,10.2,5,5,75,09:00 PM,08:18 AM,06:06 AM,06:45 PM,18,24,24,23,6,46,75,2.0,1014,28,10,253,4
2020-02-12,26,20,0.0,10.2,5,5,68,09:46 PM,09:18 AM,06:06 AM,06:45 PM,19,24,24,23,9,58,79,10.8,1013,26,8,112,6
2020-02-13,27,20,0.0,8.9,5,5,60,10:30 PM,10:17 AM,06:07 AM,06:45 PM,18,24,24,23,9,56,77,4.0,1013,27,10,177,6
2020-02-14,28,20,0.0,8.9,5,5,53,11:15 PM,11:15 AM,06:07 AM,06:44 PM,18,24,24,23,7,66,76,9.7,1013,28,9,71,5
2020-02-15,27,19,0.0,8.9,5,5,45,No moonrise,12:12 PM,06:07 AM,06:44 PM,19,24,24,23,8,56,76,12.4,1013,27,9,89,5
2020-02-16,27,20,0.0,8.9,5,5,38,12:02 AM,01:10 PM,06:08 AM,06:43 PM,19,25,25,23,7,55,77,5.7,1012,27,10,91,5
2020-02-17,26,20,0.0,7.5,5,5,30,12:50 AM,02:07 PM,06:08 AM,06:43 PM,19,24,24,23,13,79,81,28.0,1012,26,8,25,9
2020-02-18,27,19,0.0,11.6,6,6,22,01:41 AM,03:03 PM,06:08 AM,06:42 PM,18,24,24,23,14,32,76,0.1,1014,27,10,59,10
2020-02-19,27,20,0.0,10.2,5,5,15,02:33 AM,03:57 PM,06:09 AM,06:42 PM,18,24,24,23,10,54,78,4.5,1012,27,10,44,7
2020-02-20,27,19,0.0,8.9,5,5,7,03:27 AM,04:47 PM,06:09 AM,06:41 PM,18,23,23,23,11,40,77,2.8,1011,27,10,109,7
2020-02-21,26,19,0.0,7.5,5,5,0,04:20 AM,05:34 PM,06:09 AM,06:41 PM,18,23,23,22,13,40,79,2.2,1012,26,10,335,9
2020-02-22,27,20,0.0,8.9,5,5,0,05:13 AM,06:17 PM,06:10 AM,06:40 PM,18,24,24,23,9,59,77,14.3,1013,27,8,302,6
2020-02-23,29,19,0.0,7.5,6,6,0,06:03 AM,06:57 PM,06:10 AM,06:40 PM,19,25,25,24,6,65,75,11.4,1013,29,9,124,4
2020-02-24,26,21,0.0,11.6,5,5,0,06:52 AM,07:35 PM,06:10 AM,06:39 PM,19,25,25,23,11,48,81,22.3,1013,26,8,245,6
2020-02-25,27,20,0.0,7.5,5,5,8,07:39 AM,08:10 PM,06:11 AM,06:38 PM,19,24,24,23,10,69,81,20.5,1013,27,9,54,6
2020-02-26,26,20,0.0,7.5,5,5,15,08:25 AM,08:45 PM,06:11 AM,06:38 PM,19,23,23,22,13,69,86,6.7,1011,26,10,332,9
2020-02-27,26,20,0.0,7.5,5,5,23,09:12 AM,09:21 PM,06:11 AM,06:37 PM,19,24,24,23,15,53,81,17.8,1011,26,9,328,9
2020-02-28,28,20,0.0,10.2,6,6,30,09:59 AM,09:57 PM,06:11 AM,06:37 PM,19,25,25,24,8,36,76,6.5,1013,28,9,270,5
2020-02-29,26,20,0.0,7.5,5,5,38,10:46 AM,10:35 PM,06:12 AM,06:36 PM,19,23,23,22,7,70,85,17.6,1014,26,9,162,5
2020-03-01,25,19,0.0,11.6,5,5,44,11:36 AM,11:17 PM,06:12 AM,06:35 PM,19,23,23,22,9,64,86,23.4,1013,25,8,187,6
2020-03-02,26,19,0.0,7.5,5,5,51,12:28 PM,No moonset,06:12 AM,06:35 PM,19,23,23,22,10,70,83,15.7,1012,26,8,291,6
2020-03-03,26,19,0.0,7.5,5,5,58,01:23 PM,12:02 AM,06:12 AM,06:34 PM,19,23,23,22,11,72,86,17.7,1012,26,7,235,7
2020-03-04,27,19,0.0,7.5,5,5,65,02:19 PM,12:53 AM,06:13 AM,06:33 PM,19,24,24,22,9,69,83,14.5,1013,27,8,317,6
2020-03-05,26,19,0.0,7.5,5,5,73,03:17 PM,01:48 AM,06:13 AM,06:33 PM,19,23,23,22,8,68,82,18.6,1014,26,8,260,5
2020-03-06,26,19,0.0,10.2,5,5,80,04:13 PM,02:48 AM,06:13 AM,06:32 PM,19,23,23,22,11,67,83,22.4,1012,26,9,309,7
2020-03-07,25,18,0.0,8.8,5,5,87,05:07 PM,03:51 AM,06:13 AM,06:31 PM,19,22,22,21,10,64,87,10.9,1012,25,8,313,6
2020-03-08,26,19,0.0,7.5,5,5,95,05:59 PM,04:54 AM,06:13 AM,06:30 PM,19,23,23,22,9,72,83,7.2,1012,26,10,288,6
2020-03-09,26,18,0.0,8.8,5,5,100,06:48 PM,05:57 AM,06:14 AM,06:30 PM,18,22,22,21,13,50,83,0.8,1013,26,10,120,10
2020-03-10,26,18,0.0,8.8,5,5,100,07:35 PM,07:00 AM,06:14 AM,06:29 PM,19,23,23,21,17,55,85,3.7,1013,26,10,98,12
2020-03-11,26,18,0.0,10.2,5,5,84,08:21 PM,08:01 AM,06:14 AM,06:28 PM,19,23,23,22,17,53,84,3.6,1012,26,10,91,11
2020-03-12,27,18,0.0,8.8,5,5,76,09:08 PM,09:01 AM,06:14 AM,06:28 PM,19,23,23,22,12,48,83,1.1,1012,27,10,83,8
2020-03-13,27,18,0.0,10.2,5,5,69,09:55 PM,10:02 AM,06:14 AM,06:27 PM,19,23,23,22,16,51,83,5.9,1013,27,10,91,11
2020-03-14,27,18,0.0,7.4,5,5,62,10:45 PM,11:02 AM,06:15 AM,06:26 PM,19,23,23,22,17,61,83,1.4,1014,27,10,59,13
2020-03-15,26,18,0.0,8.8,5,5,55,11:37 PM,12:01 PM,06:15 AM,06:25 PM,18,23,23,22,16,52,82,1.0,1014,26,10,72,11
2020-03-16,27,18,0.0,11.6,6,6,47,No moonrise,12:59 PM,06:15 AM,06:25 PM,17,23,23,22,12,15,76,0.0,1014,27,10,62,9
