date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,26,17,0.0,14.0,6,6,11,03:41 AM,06:21 PM,05:55 AM,07:53 PM,9,23,23,23,12,2,41,0.0,1014,26,10,251,8
2020-01-23,27,21,0.0,14.0,6,6,3,04:33 AM,07:14 PM,05:56 AM,07:53 PM,13,25,25,24,10,7,52,0.0,1016,27,10,249,8
2020-01-24,27,18,0.0,14.0,7,7,0,05:30 AM,08:00 PM,05:57 AM,07:52 PM,11,24,24,23,10,7,49,0.0,1015,27,10,255,8
2020-01-25,24,18,0.0,13.9,6,6,0,06:27 AM,08:41 PM,05:58 AM,07:52 PM,4,24,24,22,13,18,33,0.0,1015,24,10,256,7
2020-01-26,26,20,0.0,13.9,6,6,4,07:25 AM,09:17 PM,05:59 AM,07:51 PM,3,23,23,23,13,3,29,0.0,1016,26,10,254,8
2020-01-27,27,18,0.0,13.5,6,6,11,08:21 AM,09:49 PM,06:00 AM,07:51 PM,5,23,23,23,14,5,33,0.0,1015,27,10,257,8
2020-01-28,27,19,0.0,11.6,6,6,18,09:17 AM,10:19 PM,06:01 AM,07:50 PM,7,23,23,23,10,13,37,0.0,1013,27,10,254,9
2020-01-29,24,17,0.0,9.2,5,5,26,10:11 AM,10:47 PM,06:02 AM,07:49 PM,8,21,21,21,12,38,49,1.7,1015,24,10,248,9
2020-01-30,29,22,0.0,11.6,7,7,33,11:05 AM,11:15 PM,06:03 AM,07:49 PM,9,25,25,25,9,0,36,0.0,1016,29,10,252,8
2020-01-31,27,17,0.0,11.6,7,7,37,11:59 AM,11:43 PM,06:04 AM,07:48 PM,6,24,24,23,10,0,33,0.0,1015,27,10,253,8
2020-02-01,29,18,0.0,11.6,7,7,49,12:54 PM,No moonset,06:05 AM,07:47 PM,7,24,24,24,10,0,35,0.0,1015,29,10,252,8
2020-02-02,25,16,0.0,11.6,6,6,57,01:51 PM,12:13 AM,06:06 AM,07:47 PM,7,23,23,22,14,2,39,0.0,1015,25,10,252,8
2020-02-03,23,13,0.0,11.6,6,6,64,02:49 PM,12:47 AM,06:07 AM,07:46 PM,4,21,21,20,14,2,35,0.0,1014,23,10,251,9
2020-02-04,26,18,0.0,11.6,6,6,72,03:49 PM,01:26 AM,06:08 AM,07:45 PM,7,22,22,22,10,3,44,0.0,1015,26,10,253,9
2020-02-05,18,11,0.0,11.6,5,5,79,04:50 PM,02:10 AM,06:08 AM,07:44 PM,3,16,17,16,15,5,43,0.0,1014,18,10,252,9
2020-02-06,21,15,0.0,11.6,5,5,87,05:50 PM,03:02 AM,06:09 AM,07:44 PM,4,17,18,17,12,2,38,0.0,1016,21,10,247,8
