date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,17,12,0.0,7.4,3,3,11,04:19 AM,04:46 PM,06:21 AM,06:29 PM,10,14,14,14,7,66,81,10.6,1014,17,9,319,5
2020-01-23,18,12,0.0,8.8,4,4,3,05:14 AM,05:40 PM,06:22 AM,06:29 PM,10,14,14,14,6,63,75,1.4,1014,18,10,220,5
2020-01-24,19,12,0.0,6.0,4,4,0,06:06 AM,06:32 PM,06:22 AM,06:30 PM,10,15,15,15,7,77,76,5.7,1014,19,10,215,5
2020-01-25,19,12,0.0,8.8,4,4,0,06:57 AM,07:21 PM,06:22 AM,06:30 PM,10,15,15,15,7,63,73,5.0,1015,19,10,327,6
2020-01-26,18,12,0.0,6.0,4,4,4,07:45 AM,08:07 PM,06:22 AM,06:30 PM,10,14,14,14,7,76,78,10.3,1016,18,8,335,5
2020-01-27,18,12,0.0,6.0,4,4,11,08:30 AM,08:51 PM,06:23 AM,06:30 PM,11,14,14,14,7,75,81,6.1,1016,18,9,216,5
2020-01-28,19,12,0.0,11.6,4,4,18,09:14 AM,09:34 PM,06:23 AM,06:30 PM,9,14,14,14,6,39,74,1.2,1015,19,10,214,5
2020-01-29,19,11,0.0,6.0,4,4,26,09:55 AM,10:14 PM,06:23 AM,06:31 PM,9,14,14,14,7,62,73,4.0,1014,19,10,214,5
2020-01-30,19,12,0.0,10.2,4,4,33,10:35 AM,10:55 PM,06:23 AM,06:31 PM,10,15,15,15,6,57,73,2.0,1014,19,10,222,5
2020-01-31,18,12,0.0,8.8,4,4,37,11:17 AM,11:36 PM,06:23 AM,06:31 PM,10,15,15,15,7,74,73,5.2,1015,18,10,230,5
2020-02-01,19,12,0.0,8.8,4,4,49,11:59 AM,No moonset,06:24 AM,06:31 PM,9,15,15,15,8,44,68,5.5,1015,19,10,131,6
2020-02-02,19,10,0.0,6.0,4,4,57,12:43 PM,12:19 AM,06:24 AM,06:31 PM,11,14,14,14,6,77,77,17.6,1015,19,8,224,4
2020-02-03,21,13,0.0,6.0,4,4,64,01:30 PM,01:04 AM,06:24 AM,06:31 PM,10,15,15,15,6,71,74,13.9,1015,21,9,158,4
2020-02-04,20,12,0.0,8.8,4,4,72,02:21 PM,01:53 AM,06:24 AM,06:31 PM,9,15,15,15,7,62,69,3.8,1015,20,10,230,6
2020-02-05,22,12,0.0,10.2,4,4,79,03:16 PM,02:46 AM,06:24 AM,06:31 PM,7,16,16,16,6,48,63,0.6,1013,22,10,239,6
2020-02-06,22,12,0.0,10.2,4,4,87,04:14 PM,03:43 AM,06:24 AM,06:32 PM,5,16,16,16,7,31,53,1.5,1014,22,10,224,6
2020-02-07,21,11,0.0,8.8,4,4,95,05:14 PM,04:42 AM,06:24 AM,06:32 PM,8,15,15,15,8,51,63,5.2,1014,21,10,222,6
2020-02-08,19,12,0.0,7.4,4,4,100,06:14 PM,05:43 AM,06:24 AM,06:32 PM,10,15,15,15,6,68,73,6.2,1014,19,10,324,5
2020-02-09,19,13,0.0,10.2,4,4,100,07:12 PM,06:42 AM,06:24 AM,06:32 PM,11,15,15,15,6,56,75,3.8,1014,19,10,321,5
2020-02-10,20,12,0.0,11.6,4,4,83,08:08 PM,07:39 AM,06:24 AM,06:32 PM,9,15,15,15,7,36,66,1.3,1014,20,10,131,6
2020-02-11,22,11,0.0,8.8,4,4,75,09:02 PM,08:34 AM,06:24 AM,06:32 PM,8,15,15,15,10,36,63,2.3,1014,22,10,134,7
2020-02-12,20,12,0.0,8.8,4,4,68,09:54 PM,09:27 AM,06:24 AM,06:32 PM,9,15,15,15,7,43,66,1.8,1013,20,10,127,6
2020-02-13,21,12,0.0,10.2,4,4,60,10:45 PM,10:18 AM,06:24 AM,06:32 PM,9,16,15,16,7,47,67,2.8,1012,21,10,230,6
2020-02-14,21,12,0.0,8.8,4,4,53,11:37 PM,11:10 AM,06:24 AM,06:32 PM,9,16,16,16,8,45,66,3.8,1013,21,10,215,6
2020-02-15,19,13,0.0,10.2,4,4,45,No moonrise,12:02 PM,06:24 AM,06:31 PM,10,16,16,16,6,34,70,3.9,1013,19,10,236,5
