date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,14,8,0.0,9.8,4,4,11,06:33 AM,03:55 PM,08:32 AM,06:11 PM,5,11,11,11,6,15,65,0.0,1033,14,10,177,4
2020-01-23,17,8,0.0,9.8,4,4,3,07:31 AM,04:48 PM,08:31 AM,06:13 PM,6,12,12,12,5,3,67,0.0,1029,17,10,193,4
2020-01-24,14,10,0.0,9.8,4,4,0,08:20 AM,05:47 PM,08:30 AM,06:14 PM,6,11,12,11,13,28,70,0.0,1026,14,10,146,9
2020-01-25,14,10,0.0,4.9,3,3,0,09:03 AM,06:48 PM,08:29 AM,06:15 PM,8,10,12,10,20,67,79,3.3,1023,14,10,146,13
2020-01-26,13,9,0.0,9.9,3,3,4,09:39 AM,07:49 PM,08:29 AM,06:16 PM,7,10,11,10,9,36,79,0.4,1020,13,10,100,6
2020-01-27,15,8,0.0,9.9,4,4,11,10:09 AM,08:50 PM,08:28 AM,06:18 PM,6,11,11,11,9,27,75,0.0,1020,15,10,181,6
2020-01-28,12,10,0.0,5.0,3,3,18,10:36 AM,09:50 PM,08:27 AM,06:19 PM,8,10,11,10,17,89,82,2.8,1015,12,10,201,10
2020-01-29,15,10,0.0,9.9,4,4,26,11:00 AM,10:49 PM,08:26 AM,06:20 PM,8,12,13,12,10,17,74,0.1,1014,15,10,272,8
2020-01-30,14,8,0.0,10.0,4,4,33,11:24 AM,11:47 PM,08:25 AM,06:21 PM,6,10,11,10,13,38,70,0.1,1020,14,10,144,9
2020-01-31,13,10,0.0,8.3,3,3,37,11:47 AM,No moonset,08:24 AM,06:23 PM,7,11,12,11,12,66,74,0.0,1021,13,10,138,8
2020-02-01,15,10,0.0,5.0,3,3,49,12:11 PM,12:46 AM,08:23 AM,06:24 PM,9,12,12,12,9,85,82,0.0,1020,15,10,164,5
2020-02-02,16,11,0.0,10.0,3,3,57,12:38 PM,01:46 AM,08:22 AM,06:25 PM,10,12,13,12,13,66,83,0.0,1021,16,10,163,9
2020-02-03,18,11,0.0,10.1,5,5,64,01:08 PM,02:48 AM,08:21 AM,06:27 PM,10,13,14,13,8,13,80,0.0,1019,18,10,159,5
2020-02-04,18,10,0.0,10.1,4,4,72,01:44 PM,03:51 AM,08:20 AM,06:28 PM,5,12,13,12,27,28,66,0.1,1011,18,9,250,18
2020-02-05,12,7,0.0,10.1,3,3,79,02:28 PM,04:55 AM,08:19 AM,06:29 PM,-6,5,9,5,40,3,35,0.0,1017,12,10,354,27
2020-02-06,12,5,0.0,10.1,3,3,87,03:21 PM,05:58 AM,08:18 AM,06:30 PM,-8,5,8,5,29,3,33,0.0,1026,12,10,123,20
2020-02-07,14,5,0.0,10.2,4,4,95,04:23 PM,06:57 AM,08:17 AM,06:32 PM,-4,9,10,9,9,3,40,0.0,1027,14,10,214,6
2020-02-08,15,7,0.0,10.0,4,4,100,05:34 PM,07:49 AM,08:15 AM,06:33 PM,-1,9,10,9,8,17,47,0.0,1028,15,10,150,5
2020-02-09,14,8,0.0,8.4,3,3,100,06:49 PM,08:34 AM,08:14 AM,06:34 PM,4,10,10,10,12,67,63,0.0,1030,14,10,164,8
2020-02-10,13,10,0.0,5.1,3,3,83,08:07 PM,09:14 AM,08:13 AM,06:36 PM,8,10,12,10,19,94,80,0.5,1024,13,9,183,13
2020-02-11,17,12,0.0,10.3,4,4,75,09:24 PM,09:48 AM,08:12 AM,06:37 PM,10,14,14,14,11,25,79,0.0,1016,17,10,216,8
2020-02-12,16,10,0.0,10.3,4,4,68,10:38 PM,10:19 AM,08:11 AM,06:38 PM,6,12,13,12,11,39,64,0.0,1018,16,10,199,7
2020-02-13,14,9,0.0,10.3,4,4,60,11:53 PM,10:49 AM,08:09 AM,06:40 PM,6,10,11,10,15,41,69,0.0,1021,14,10,177,10
2020-02-14,17,11,0.0,8.4,3,3,53,No moonrise,11:19 AM,08:08 AM,06:41 PM,5,12,13,12,20,54,60,4.7,1019,17,10,123,13
