date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,27,10,0.0,11.1,5,5,11,06:21 AM,05:36 PM,08:13 AM,07:23 PM,6,18,19,18,4,14,51,0.1,1018,27,10,152,3
2020-01-23,22,11,0.0,10.1,4,4,3,07:16 AM,06:29 PM,08:13 AM,07:24 PM,6,16,16,16,8,48,56,1.7,1015,22,10,252,6
2020-01-24,20,10,0.0,10.1,4,4,0,08:06 AM,07:24 PM,08:13 AM,07:24 PM,6,15,15,15,7,58,55,2.0,1017,20,9,126,5
2020-01-25,22,10,0.0,11.1,5,5,0,08:53 AM,08:18 PM,08:13 AM,07:25 PM,7,15,15,15,9,26,59,0.2,1018,22,10,182,7
2020-01-26,22,12,0.0,11.1,5,5,4,09:36 AM,09:10 PM,08:13 AM,07:26 PM,5,16,17,16,6,26,49,0.2,1018,22,10,190,5
2020-01-27,22,12,0.0,11.1,5,5,11,10:14 AM,10:00 PM,08:12 AM,07:26 PM,3,17,17,17,6,25,43,0.1,1017,22,10,156,5
2020-01-28,24,14,0.0,11.2,5,5,18,10:51 AM,10:49 PM,08:12 AM,07:27 PM,-2,18,18,18,9,11,26,0.0,1015,24,10,192,8
2020-01-29,22,12,0.0,11.2,5,5,26,11:26 AM,11:37 PM,08:12 AM,07:28 PM,-0,17,17,17,10,11,33,0.0,1016,22,10,130,9
2020-01-30,21,13,0.0,11.2,5,5,33,11:59 AM,No moonset,08:12 AM,07:28 PM,-0,16,17,16,14,6,33,0.0,1015,21,10,204,12
2020-01-31,22,12,0.0,11.2,5,5,37,12:33 PM,12:24 AM,08:11 AM,07:29 PM,1,16,16,16,11,29,35,0.1,1016,22,10,180,9
2020-02-01,19,12,0.0,11.2,4,4,49,01:09 PM,01:13 AM,08:11 AM,07:29 PM,7,15,15,15,6,26,59,0.7,1021,19,10,186,5
2020-02-02,24,11,0.0,11.2,5,5,57,01:46 PM,02:03 AM,08:11 AM,07:30 PM,7,16,16,16,7,25,57,0.7,1020,24,10,58,6
2020-02-03,21,13,0.0,11.2,5,5,64,02:27 PM,02:55 AM,08:11 AM,07:30 PM,4,17,17,17,13,7,45,0.0,1017,21,10,195,11
2020-02-04,21,13,0.0,11.2,5,5,72,03:14 PM,03:49 AM,08:10 AM,07:31 PM,7,16,17,16,14,29,54,0.4,1016,21,10,194,12
2020-02-05,20,13,0.0,7.1,4,4,79,04:06 PM,04:46 AM,08:10 AM,07:31 PM,7,16,16,16,18,56,57,0.8,1014,20,10,196,15
2020-02-06,23,12,0.0,11.2,5,5,87,05:04 PM,05:45 AM,08:09 AM,07:32 PM,2,17,17,17,12,28,45,0.2,1013,23,10,222,10
