date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,25,19,0.0,12.8,6,6,11,03:53 AM,05:02 PM,05:58 AM,06:41 PM,19,25,25,23,8,60,75,0.0,1016,25,10,275,7
2020-01-23,27,23,0.0,12.8,7,7,3,04:46 AM,05:55 PM,05:59 AM,06:41 PM,18,26,26,24,10,62,69,0.1,1016,27,10,215,8
2020-01-24,27,22,0.0,12.8,7,7,0,05:40 AM,06:45 PM,05:59 AM,06:41 PM,18,26,26,24,15,45,69,0.0,1016,27,10,196,11
2020-01-25,26,22,0.0,11.8,7,7,0,06:33 AM,07:32 PM,06:00 AM,06:41 PM,18,26,26,24,15,46,70,0.5,1017,26,9,208,11
2020-01-26,26,22,0.0,12.4,7,7,4,07:24 AM,08:15 PM,06:00 AM,06:41 PM,19,26,26,24,17,31,74,0.6,1017,26,10,199,13
2020-01-27,26,18,0.0,11.6,6,6,11,08:13 AM,08:55 PM,06:01 AM,06:41 PM,19,25,25,23,15,41,79,0.5,1016,26,10,220,12
2020-01-28,26,19,0.0,10.3,5,5,18,09:00 AM,09:33 PM,06:01 AM,06:41 PM,19,25,25,23,17,71,78,0.0,1016,26,10,196,13
2020-01-29,25,19,0.0,8.9,5,5,26,09:46 AM,10:10 PM,06:02 AM,06:41 PM,19,25,25,23,14,68,79,0.0,1015,25,10,206,12
2020-01-30,27,23,0.0,11.6,7,7,33,10:30 AM,10:46 PM,06:02 AM,06:40 PM,19,26,26,24,15,26,73,0.0,1015,27,10,213,12
2020-01-31,26,21,0.0,11.6,6,6,37,11:15 AM,11:24 PM,06:03 AM,06:40 PM,19,25,25,23,17,35,76,0.0,1015,26,10,205,13
2020-02-01,26,21,0.0,10.2,5,5,49,12:01 PM,No moonset,06:03 AM,06:40 PM,19,25,25,23,15,57,78,0.6,1015,26,10,203,12
2020-02-02,26,19,0.0,11.6,6,6,57,12:49 PM,12:02 AM,06:03 AM,06:40 PM,19,25,25,23,17,41,77,0.7,1016,26,9,188,13
2020-02-03,25,21,0.0,11.6,5,5,64,01:41 PM,12:44 AM,06:04 AM,06:40 PM,18,25,25,23,16,56,77,0.3,1016,25,10,197,13
2020-02-04,25,18,0.0,10.2,5,5,72,02:34 PM,01:30 AM,06:04 AM,06:40 PM,19,24,24,22,16,54,78,0.0,1015,25,10,190,13
2020-02-05,25,18,0.0,10.2,5,5,79,03:31 PM,02:20 AM,06:04 AM,06:39 PM,18,24,24,22,15,41,77,0.0,1015,25,10,195,12
2020-02-06,25,18,0.0,11.6,6,6,87,04:29 PM,03:15 AM,06:05 AM,06:39 PM,18,24,24,22,15,26,75,0.0,1015,25,10,196,12
2020-02-07,26,19,0.0,11.6,6,6,95,05:29 PM,04:15 AM,06:05 AM,06:39 PM,18,25,25,23,13,14,73,0.0,1015,26,10,211,10
2020-02-08,25,22,0.0,8.9,6,6,100,06:25 PM,05:17 AM,06:06 AM,06:39 PM,18,25,25,23,13,48,75,0.0,1015,25,10,224,10
2020-02-09,25,20,0.0,11.6,6,6,100,07:20 PM,06:20 AM,06:06 AM,06:38 PM,18,24,24,22,14,22,75,0.0,1015,25,10,206,11
2020-02-10,25,21,0.0,11.6,6,6,83,08:11 PM,07:22 AM,06:06 AM,06:38 PM,18,25,25,23,16,35,76,0.7,1015,25,10,199,13
2020-02-11,25,21,0.0,11.6,6,6,75,08:59 PM,08:21 AM,06:06 AM,06:38 PM,18,25,25,23,15,39,77,0.7,1014,25,10,208,12
2020-02-12,25,21,0.0,11.6,6,6,68,09:46 PM,09:20 AM,06:07 AM,06:38 PM,18,24,24,22,17,50,78,0.1,1014,25,10,193,13
2020-02-13,24,20,0.0,8.9,5,5,60,10:32 PM,10:16 AM,06:07 AM,06:37 PM,18,24,24,22,15,56,79,0.0,1014,24,10,200,12
2020-02-14,25,19,0.0,11.6,6,6,53,11:19 PM,11:13 AM,06:07 AM,06:37 PM,18,24,24,22,15,31,76,0.1,1014,25,10,205,12
2020-02-15,25,21,0.0,11.6,6,6,45,No moonrise,12:09 PM,06:08 AM,06:37 PM,19,25,25,23,14,49,77,0.0,1014,25,10,212,11
2020-02-16,26,21,0.0,8.9,5,5,38,12:07 AM,01:06 PM,06:08 AM,06:36 PM,19,25,25,23,16,57,75,0.0,1013,26,10,190,13
2020-02-17,25,20,0.0,11.6,6,6,30,12:57 AM,02:02 PM,06:08 AM,06:36 PM,19,25,25,23,14,28,75,0.1,1011,25,10,213,12
2020-02-18,26,22,0.0,11.6,6,6,22,01:49 AM,02:57 PM,06:08 AM,06:35 PM,19,26,26,24,15,46,75,0.3,1012,26,10,202,12
2020-02-19,26,22,0.0,11.6,6,6,15,02:41 AM,03:51 PM,06:09 AM,06:35 PM,19,26,26,24,14,47,77,0.6,1013,26,10,203,12
2020-02-20,26,22,0.0,11.6,6,6,7,03:35 AM,04:41 PM,06:09 AM,06:35 PM,20,26,26,24,14,38,79,0.5,1014,26,10,207,11
2020-02-21,26,22,0.0,10.2,6,6,0,04:27 AM,05:28 PM,06:09 AM,06:34 PM,20,26,26,24,12,44,77,0.0,1016,26,10,203,10
2020-02-22,27,23,0.0,10.2,7,7,0,05:19 AM,06:12 PM,06:09 AM,06:34 PM,19,26,26,24,13,49,70,0.1,1016,27,10,208,11
2020-02-23,27,22,0.0,11.6,7,7,0,06:08 AM,06:53 PM,06:09 AM,06:33 PM,18,26,26,25,13,39,67,0.0,1016,27,10,215,10
2020-02-24,27,23,0.0,11.6,7,7,0,06:55 AM,07:32 PM,06:10 AM,06:33 PM,19,27,27,25,14,28,69,0.0,1015,27,10,211,11
2020-02-25,27,23,0.0,11.6,7,7,8,07:41 AM,08:08 PM,06:10 AM,06:32 PM,19,26,26,24,17,18,73,0.0,1015,27,10,204,13
2020-02-26,25,18,0.0,6.1,5,5,15,08:26 AM,08:45 PM,06:10 AM,06:32 PM,19,25,25,23,17,60,80,0.0,1015,25,10,184,14
2020-02-27,25,22,0.0,6.1,5,5,23,09:11 AM,09:22 PM,06:10 AM,06:31 PM,20,25,25,23,15,65,80,0.0,1016,25,10,199,11
2020-02-28,26,22,0.0,11.6,7,7,30,09:57 AM,09:59 PM,06:10 AM,06:31 PM,19,26,26,24,17,38,74,0.0,1016,26,10,196,13
2020-02-29,26,22,0.0,11.6,7,7,38,10:43 AM,10:39 PM,06:10 AM,06:30 PM,19,26,26,24,16,48,74,0.3,1016,26,9,193,12
2020-03-01,27,22,0.0,11.6,7,7,44,11:32 AM,11:22 PM,06:11 AM,06:30 PM,19,26,26,24,18,44,72,0.3,1016,27,10,186,14
2020-03-02,26,22,0.0,11.6,7,7,51,12:23 PM,No moonset,06:11 AM,06:29 PM,19,26,26,24,18,30,75,0.0,1015,26,10,191,14
2020-03-03,27,21,0.0,11.6,7,7,58,01:17 PM,12:09 AM,06:11 AM,06:29 PM,18,26,26,24,18,30,72,0.0,1014,27,10,192,14
2020-03-04,26,22,0.0,11.6,7,7,65,02:13 PM,01:01 AM,06:11 AM,06:28 PM,19,26,26,24,16,33,75,0.0,1014,26,10,209,12
2020-03-05,26,22,0.0,11.6,6,6,73,03:11 PM,01:57 AM,06:11 AM,06:27 PM,19,26,26,24,14,22,76,0.1,1015,26,10,216,11
2020-03-06,26,21,0.0,11.6,6,6,80,04:08 PM,02:56 AM,06:11 AM,06:27 PM,19,26,26,23,14,26,78,0.0,1015,26,10,210,11
2020-03-07,25,22,0.0,11.6,6,6,87,05:03 PM,03:58 AM,06:11 AM,06:26 PM,19,25,25,23,14,49,78,0.0,1015,25,10,206,11
2020-03-08,26,20,0.0,11.6,6,6,95,05:56 PM,05:00 AM,06:11 AM,06:26 PM,18,25,25,23,15,30,74,0.0,1015,26,10,204,11
2020-03-09,26,20,0.0,11.6,7,7,100,06:46 PM,06:02 AM,06:11 AM,06:25 PM,18,25,25,23,16,22,70,0.0,1016,26,10,200,12
2020-03-10,26,22,0.0,11.6,6,6,100,07:35 PM,07:02 AM,06:12 AM,06:24 PM,19,26,26,24,13,21,73,0.0,1016,26,10,211,10
2020-03-11,26,21,0.0,11.6,7,7,84,08:23 PM,08:02 AM,06:12 AM,06:24 PM,19,26,26,24,13,21,72,0.0,1015,26,10,206,10
2020-03-12,27,22,0.0,11.6,7,7,76,09:11 PM,09:00 AM,06:12 AM,06:23 PM,19,26,26,24,13,17,72,0.0,1014,27,10,209,10
2020-03-13,27,22,0.0,11.6,7,7,69,10:01 PM,09:59 AM,06:12 AM,06:23 PM,19,26,26,24,15,26,72,0.0,1016,27,10,193,12
2020-03-14,26,20,0.0,11.6,6,6,62,10:51 PM,10:58 AM,06:12 AM,06:22 PM,19,25,25,23,13,28,76,0.0,1016,26,10,222,10
2020-03-15,26,22,0.0,11.6,6,6,55,11:44 PM,11:56 AM,06:12 AM,06:21 PM,19,26,26,24,15,37,77,0.0,1016,26,10,203,12
2020-03-16,26,22,0.0,10.2,6,6,47,No moonrise,12:53 PM,06:12 AM,06:21 PM,19,26,26,24,15,56,77,0.1,1015,26,10,214,12
2020-03-17,26,22,0.0,11.6,6,6,40,12:37 AM,01:48 PM,06:12 AM,06:20 PM,19,26,26,24,16,36,75,0.1,1016,26,10,195,12
2020-03-18,27,21,0.0,11.6,7,7,33,01:31 AM,02:39 PM,06:12 AM,06:20 PM,18,26,26,24,16,32,70,0.0,1016,27,10,194,13
2020-03-19,25,22,0.0,11.6,6,6,25,02:24 AM,03:27 PM,06:12 AM,06:19 PM,19,25,25,23,17,38,76,0.0,1017,25,10,191,13
2020-03-20,26,21,0.0,8.8,6,6,18,03:16 AM,04:11 PM,06:12 AM,06:18 PM,19,25,25,23,13,65,76,0.3,1016,26,10,215,10
2020-03-21,26,22,0.0,11.6,7,7,11,04:05 AM,04:53 PM,06:12 AM,06:18 PM,18,26,26,24,14,26,70,0.2,1016,26,10,212,11
2020-03-22,27,22,0.0,11.6,7,7,4,04:52 AM,05:32 PM,06:12 AM,06:17 PM,17,26,26,24,15,16,64,0.0,1016,27,10,209,11
2020-03-23,26,22,0.0,11.6,7,7,0,05:39 AM,06:09 PM,06:12 AM,06:16 PM,18,26,26,24,18,28,69,0.0,1017,26,10,193,14
2020-03-24,26,21,0.0,11.6,6,6,0,06:24 AM,06:45 PM,06:12 AM,06:16 PM,18,24,24,23,16,35,76,1.0,1016,26,10,216,12
2020-03-25,24,20,0.0,8.8,5,5,3,07:09 AM,07:22 PM,06:12 AM,06:15 PM,18,24,24,22,15,62,80,0.0,1015,24,10,216,12
2020-03-26,24,20,0.0,10.2,6,6,11,07:54 AM,07:59 PM,06:12 AM,06:15 PM,18,24,24,22,15,48,78,0.0,1014,24,10,206,11
2020-03-27,24,21,0.0,11.6,6,6,18,08:40 AM,08:38 PM,06:12 AM,06:14 PM,18,24,24,22,15,39,77,0.0,1013,24,10,202,12
2020-03-28,25,20,0.0,11.6,6,6,25,09:28 AM,09:20 PM,06:12 AM,06:13 PM,18,24,24,22,15,33,76,0.0,1014,25,10,205,12
2020-03-29,25,22,0.0,11.6,6,6,32,10:18 AM,10:04 PM,06:12 AM,06:13 PM,18,25,25,23,12,18,75,0.0,1015,25,10,216,9
2020-03-30,25,21,0.0,11.6,6,6,40,11:10 AM,10:53 PM,06:12 AM,06:12 PM,18,24,24,22,11,22,75,0.0,1015,25,10,218,9
2020-03-31,24,19,0.0,11.6,6,6,44,12:04 PM,11:46 PM,06:12 AM,06:11 PM,18,24,24,22,11,40,75,0.1,1014,24,10,221,9
2020-04-01,25,21,0.0,11.6,6,6,56,12:59 PM,No moonset,06:12 AM,06:11 PM,18,25,25,23,10,38,74,0.2,1016,25,10,214,8
2020-04-02,25,22,0.0,11.6,6,6,64,01:55 PM,12:42 AM,06:13 AM,06:10 PM,18,25,25,23,12,19,73,0.0,1016,25,10,216,10
2020-04-03,24,20,0.0,11.6,6,6,71,02:49 PM,01:41 AM,06:13 AM,06:10 PM,18,23,23,22,15,26,78,0.0,1015,24,10,213,12
2020-04-04,23,20,0.0,7.4,5,5,79,03:41 PM,02:41 AM,06:13 AM,06:09 PM,17,21,22,21,13,62,80,0.0,1014,23,10,220,10
2020-04-05,24,19,0.0,11.6,6,6,87,04:31 PM,03:42 AM,06:13 AM,06:08 PM,17,23,23,22,15,38,76,0.0,1015,24,10,193,12
2020-04-06,25,20,0.0,11.6,6,6,94,05:21 PM,04:42 AM,06:13 AM,06:08 PM,18,24,24,22,14,39,75,0.0,1015,25,10,196,12
2020-04-07,25,21,0.0,11.6,6,6,100,06:09 PM,05:42 AM,06:13 AM,06:07 PM,18,24,24,22,13,27,77,0.0,1016,25,10,199,11
2020-04-08,25,20,0.0,11.6,6,6,100,06:57 PM,06:41 AM,06:13 AM,06:07 PM,18,24,24,22,16,32,76,0.0,1016,25,10,193,12
2020-04-09,25,21,0.0,11.6,6,6,83,07:48 PM,07:41 AM,06:13 AM,06:06 PM,18,24,24,22,16,17,77,0.0,1014,25,10,204,12
2020-04-10,24,21,0.0,10.2,6,6,76,08:39 PM,08:41 AM,06:13 AM,06:05 PM,18,23,23,22,13,30,80,0.0,1015,24,10,215,10
2020-04-11,23,20,0.0,10.2,5,5,68,09:34 PM,09:43 AM,06:13 AM,06:05 PM,18,23,23,21,13,39,80,0.0,1016,23,10,216,10
2020-04-12,25,20,0.0,11.6,6,6,61,10:28 PM,10:42 AM,06:13 AM,06:04 PM,18,23,23,22,17,24,79,0.0,1017,25,10,206,13
2020-04-13,23,19,0.0,11.6,6,6,53,11:24 PM,11:40 AM,06:13 AM,06:04 PM,18,22,22,21,12,54,82,0.0,1017,23,10,223,9
2020-04-14,24,19,0.0,10.2,5,5,46,No moonrise,12:34 PM,06:13 AM,06:03 PM,17,22,22,21,15,47,78,0.0,1017,24,10,191,12
2020-04-15,25,20,0.0,11.6,6,6,38,12:18 AM,01:25 PM,06:13 AM,06:03 PM,17,24,24,22,16,36,73,0.0,1017,25,10,205,12
2020-04-16,25,17,0.0,11.6,6,6,30,01:12 AM,02:10 PM,06:13 AM,06:02 PM,17,24,24,22,16,8,70,0.0,1016,25,10,193,12
