date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,39,25,0.0,11.6,8,8,3,04:59 AM,05:02 PM,06:16 AM,06:05 PM,19,35,35,33,8,3,54,0.0,1010,39,10,119,6
2020-01-24,38,24,0.0,11.6,8,8,0,05:52 AM,05:55 PM,06:17 AM,06:06 PM,14,32,32,31,9,3,49,0.0,1010,38,10,93,7
2020-01-25,37,24,0.0,11.6,8,8,0,06:42 AM,06:46 PM,06:17 AM,06:06 PM,6,30,30,30,8,0,31,0.0,1011,37,10,90,6
2020-01-26,39,22,0.0,11.6,8,8,4,07:29 AM,07:35 PM,06:17 AM,06:06 PM,4,31,31,31,5,0,23,0.0,1012,39,10,113,4
2020-01-27,40,23,0.0,11.6,8,8,11,08:13 AM,08:21 PM,06:17 AM,06:07 PM,16,33,33,31,4,0,48,0.0,1011,40,10,110,3
2020-01-28,39,22,0.0,11.6,8,8,18,08:54 AM,09:06 PM,06:17 AM,06:07 PM,18,34,34,32,5,4,57,0.0,1011,39,10,91,4
2020-01-29,42,24,0.0,11.6,8,8,26,09:34 AM,09:50 PM,06:17 AM,06:07 PM,16,35,35,33,5,1,52,0.0,1010,42,10,104,4
2020-01-30,41,23,0.0,11.6,8,8,33,10:12 AM,10:32 PM,06:17 AM,06:08 PM,15,34,34,32,8,3,55,0.0,1012,41,10,106,6
2020-01-31,38,24,0.0,11.6,8,8,37,10:51 AM,11:16 PM,06:17 AM,06:08 PM,19,33,33,31,7,31,63,0.0,1012,38,8,140,5
2020-02-01,39,24,0.0,11.6,8,8,49,11:31 AM,No moonset,06:17 AM,06:08 PM,17,33,33,31,6,3,56,0.0,1011,39,10,113,5
2020-02-02,39,23,0.0,11.6,8,8,57,12:12 PM,12:00 AM,06:17 AM,06:09 PM,15,33,33,31,6,6,53,0.0,1012,39,10,171,4
2020-02-03,39,23,0.0,11.6,8,8,64,12:56 PM,12:47 AM,06:17 AM,06:09 PM,12,33,33,31,6,0,44,0.0,1012,39,10,172,5
2020-02-04,40,23,0.0,11.6,8,8,72,01:45 PM,01:37 AM,06:17 AM,06:09 PM,17,34,34,32,5,1,54,0.0,1012,40,10,149,4
2020-02-05,38,23,0.0,11.6,8,8,79,02:37 PM,02:30 AM,06:17 AM,06:09 PM,19,33,33,31,6,11,59,0.0,1011,38,10,203,4
2020-02-06,38,23,0.0,11.6,8,8,87,03:35 PM,03:28 AM,06:17 AM,06:09 PM,19,33,33,31,6,13,58,0.0,1011,38,10,89,4
2020-02-07,39,25,0.0,11.6,8,8,95,04:35 PM,04:26 AM,06:17 AM,06:10 PM,11,33,33,31,8,3,42,0.0,1011,39,10,110,6
2020-02-08,40,23,0.0,11.6,8,8,100,05:36 PM,05:26 AM,06:17 AM,06:10 PM,9,32,32,32,7,8,36,0.0,1010,40,10,160,5
