date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,25,13,0.0,11.6,6,6,3,05:30 AM,05:14 PM,06:51 AM,06:25 PM,5,19,19,19,15,5,39,0.0,1014,25,10,261,11
2020-01-24,24,13,0.0,11.6,6,6,0,06:22 AM,06:08 PM,06:51 AM,06:26 PM,5,19,19,19,15,6,41,0.0,1016,24,10,262,10
2020-01-25,26,14,0.0,11.6,6,6,0,07:12 AM,07:00 PM,06:51 AM,06:26 PM,6,20,20,20,14,6,43,0.0,1016,26,10,196,10
2020-01-26,26,15,0.0,11.6,6,6,4,07:58 AM,07:51 PM,06:51 AM,06:27 PM,4,20,20,20,14,1,35,0.0,1015,26,10,277,9
2020-01-27,28,15,0.0,11.6,6,6,11,08:41 AM,08:39 PM,06:51 AM,06:27 PM,2,22,22,22,13,0,27,0.0,1014,28,10,227,9
2020-01-28,27,16,0.0,11.6,6,6,18,09:21 AM,09:26 PM,06:51 AM,06:27 PM,2,21,21,21,12,0,29,0.0,1014,27,10,292,8
2020-01-29,27,15,0.0,11.6,6,6,26,09:59 AM,10:10 PM,06:51 AM,06:28 PM,3,21,21,21,13,3,31,0.0,1014,27,10,296,9
2020-01-30,27,14,0.0,11.6,6,6,33,10:35 AM,10:55 PM,06:51 AM,06:28 PM,5,20,20,21,15,3,37,0.0,1014,27,10,196,10
2020-01-31,26,15,0.0,11.6,6,6,37,11:12 AM,11:40 PM,06:51 AM,06:29 PM,5,20,20,20,15,7,37,0.0,1014,26,10,296,11
2020-02-01,25,15,0.0,11.6,6,6,49,11:50 AM,No moonset,06:51 AM,06:29 PM,6,21,21,21,13,6,38,0.0,1014,25,10,224,9
2020-02-02,26,15,0.0,11.6,6,6,57,12:29 PM,12:26 AM,06:50 AM,06:29 PM,6,21,21,21,14,6,38,0.0,1014,26,10,200,9
2020-02-03,27,15,0.0,11.6,6,6,64,01:12 PM,01:15 AM,06:50 AM,06:30 PM,6,22,22,22,14,7,37,0.0,1014,27,10,212,9
2020-02-04,26,17,0.0,11.6,6,6,72,01:59 PM,02:06 AM,06:50 AM,06:30 PM,5,22,22,22,15,5,34,0.0,1014,26,10,295,11
2020-02-05,26,17,0.0,11.6,6,6,79,02:50 PM,03:00 AM,06:50 AM,06:30 PM,5,22,22,22,11,5,33,0.0,1014,26,10,299,8
2020-02-06,27,17,0.0,11.6,6,6,87,03:47 PM,03:57 AM,06:50 AM,06:31 PM,5,23,23,23,9,4,31,0.0,1015,27,10,210,7
2020-02-07,27,18,0.0,10.2,5,5,95,04:46 PM,04:56 AM,06:50 AM,06:31 PM,9,23,23,22,9,25,44,1.7,1015,27,10,210,6
2020-02-08,29,17,0.0,11.6,6,6,100,05:49 PM,05:55 AM,06:49 AM,06:31 PM,9,23,23,23,10,25,43,3.6,1015,29,10,216,7
2020-02-09,30,18,0.0,11.6,6,6,100,06:51 PM,06:51 AM,06:49 AM,06:32 PM,6,24,24,24,16,12,36,0.1,1014,30,10,230,11
2020-02-10,28,18,0.0,10.2,5,5,83,07:53 PM,07:46 AM,06:49 AM,06:32 PM,11,24,24,23,11,53,48,3.4,1014,28,10,187,9
2020-02-11,28,17,0.0,11.6,6,6,75,08:52 PM,08:36 AM,06:49 AM,06:32 PM,8,23,23,22,16,16,43,0.1,1013,28,10,273,12
2020-02-12,26,15,0.0,11.6,6,6,68,09:50 PM,09:25 AM,06:48 AM,06:33 PM,7,21,21,21,10,5,43,0.0,1014,26,10,182,7
