date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,22,14,0.0,4.1,5,5,3,05:09 AM,04:10 PM,06:36 AM,05:37 PM,17,19,19,19,12,87,88,0.8,1013,22,7,171,9
2020-01-24,22,15,0.0,4.1,5,5,0,06:02 AM,05:05 PM,06:36 AM,05:38 PM,18,20,20,20,11,92,92,8.0,1014,22,8,147,8
2020-01-25,16,6,0.0,4.1,3,3,0,06:51 AM,06:00 PM,06:36 AM,05:38 PM,11,12,13,12,11,97,92,22.3,1017,16,9,132,7
2020-01-26,15,6,0.0,8.7,4,4,4,07:35 AM,06:54 PM,06:35 AM,05:39 PM,6,11,12,11,8,27,73,1.2,1019,15,10,40,6
2020-01-27,12,5,0.0,8.7,3,3,11,08:15 AM,07:47 PM,06:35 AM,05:40 PM,5,9,9,9,7,44,74,0.0,1017,12,10,121,4
2020-01-28,16,7,0.0,7.2,3,3,18,08:51 AM,08:37 PM,06:35 AM,05:40 PM,6,11,11,11,5,59,71,0.0,1019,16,10,120,4
2020-01-29,11,10,0.0,5.7,3,3,26,09:26 AM,09:27 PM,06:35 AM,05:41 PM,8,11,11,11,3,64,81,0.2,1023,11,9,290,2
2020-01-30,19,8,0.0,8.7,5,5,33,09:59 AM,10:15 PM,06:34 AM,05:42 PM,6,13,13,13,5,41,68,0.0,1022,19,10,85,4
2020-01-31,16,8,0.0,7.2,3,3,37,10:31 AM,11:05 PM,06:34 AM,05:42 PM,7,12,12,12,7,53,70,0.0,1020,16,10,183,5
2020-02-01,12,8,0.0,4.2,3,3,49,11:04 AM,11:55 PM,06:34 AM,05:43 PM,10,11,12,11,8,95,86,0.1,1019,12,9,151,5
2020-02-02,14,10,0.0,4.2,3,3,57,11:40 AM,No moonset,06:33 AM,05:44 PM,13,13,13,13,7,100,96,1.4,1018,14,4,146,4
2020-02-03,13,7,0.0,4.2,3,3,64,12:17 PM,12:46 AM,06:33 AM,05:44 PM,13,13,13,13,8,100,96,13.8,1018,13,5,90,5
2020-02-04,14,10,0.0,4.2,3,3,72,01:00 PM,01:41 AM,06:32 AM,05:45 PM,11,13,13,13,4,100,90,5.3,1020,14,8,78,3
2020-02-05,13,11,0.0,4.2,3,3,79,01:48 PM,02:37 AM,06:32 AM,05:45 PM,12,12,13,12,3,100,95,6.6,1018,13,6,132,3
2020-02-06,19,13,0.0,4.2,4,4,87,02:42 PM,03:36 AM,06:32 AM,05:46 PM,15,15,16,15,7,93,94,11.2,1016,19,6,170,4
2020-02-07,15,10,0.0,4.2,3,3,95,03:42 PM,04:35 AM,06:31 AM,05:47 PM,14,14,14,14,8,100,96,2.9,1019,15,3,112,5
2020-02-08,11,6,0.0,4.2,3,3,100,04:46 PM,05:33 AM,06:31 AM,05:47 PM,11,11,11,11,6,99,96,8.9,1023,11,3,114,4
2020-02-09,12,10,0.0,5.7,3,3,100,05:52 PM,06:27 AM,06:30 AM,05:48 PM,9,11,11,11,4,81,89,1.1,1026,12,7,74,3
2020-02-10,19,10,0.0,4.2,4,4,83,06:58 PM,07:18 AM,06:30 AM,05:48 PM,12,14,14,14,6,83,84,0.0,1021,19,10,160,5
2020-02-11,20,14,0.0,4.2,4,4,75,08:03 PM,08:04 AM,06:29 AM,05:49 PM,15,17,17,17,7,88,90,0.2,1017,20,6,182,6
2020-02-12,23,16,0.0,4.2,5,5,68,09:06 PM,08:47 AM,06:28 AM,05:50 PM,18,19,20,19,6,89,92,4.8,1015,23,6,189,4
2020-02-13,25,19,0.0,4.2,5,5,60,10:08 PM,09:30 AM,06:28 AM,05:50 PM,19,22,22,21,9,79,91,5.1,1010,25,7,185,7
2020-02-14,26,19,0.0,4.2,5,5,53,11:09 PM,10:11 AM,06:27 AM,05:51 PM,20,22,22,22,8,78,90,13.0,1007,26,9,185,6
2020-02-15,26,18,0.0,5.7,5,5,45,No moonrise,10:53 AM,06:27 AM,05:51 PM,17,23,23,22,8,76,84,8.6,1012,26,9,154,6
2020-02-16,14,8,0.0,7.2,4,4,38,12:09 AM,11:38 AM,06:26 AM,05:52 PM,6,10,12,10,14,49,66,0.1,1024,14,10,26,9
2020-02-17,16,10,0.0,8.7,4,4,30,01:10 AM,12:24 PM,06:25 AM,05:52 PM,5,12,12,12,8,35,63,0.0,1027,16,10,51,6
2020-02-18,19,9,0.0,8.7,4,4,22,02:08 AM,01:14 PM,06:25 AM,05:53 PM,5,13,13,13,6,27,60,0.0,1025,19,10,146,5
2020-02-19,19,10,0.0,8.7,5,5,15,03:05 AM,02:06 PM,06:24 AM,05:53 PM,9,14,14,14,7,52,72,0.0,1022,19,10,183,5
2020-02-20,21,14,0.0,4.2,4,4,7,03:58 AM,02:59 PM,06:23 AM,05:54 PM,14,17,17,17,6,86,81,0.4,1022,21,10,152,5
2020-02-21,18,16,0.0,4.2,4,4,0,04:47 AM,03:54 PM,06:23 AM,05:54 PM,16,17,17,17,3,85,91,1.0,1026,18,5,112,3
2020-02-22,22,13,0.0,4.2,4,4,0,05:33 AM,04:48 PM,06:22 AM,05:55 PM,14,17,17,17,4,85,83,0.7,1025,22,9,150,3
2020-02-23,24,15,0.0,8.7,6,6,0,06:13 AM,05:40 PM,06:21 AM,05:55 PM,14,19,20,19,7,33,74,0.3,1022,24,9,178,5
2020-02-24,21,14,0.0,5.7,4,4,0,06:50 AM,06:31 PM,06:20 AM,05:56 PM,14,17,17,17,10,41,82,0.0,1018,21,9,191,7
2020-02-25,21,15,0.0,5.7,4,4,8,07:26 AM,07:21 PM,06:20 AM,05:56 PM,15,18,18,18,7,59,86,0.1,1015,21,7,175,5
2020-02-26,26,16,0.0,8.7,6,6,15,07:59 AM,08:10 PM,06:19 AM,05:57 PM,17,21,21,21,7,31,80,0.0,1016,26,7,184,5
2020-02-27,23,15,0.0,4.3,5,5,23,08:31 AM,08:59 PM,06:18 AM,05:57 PM,16,19,20,19,9,74,82,1.0,1016,23,6,191,6
2020-02-28,25,16,0.0,4.3,5,5,30,09:04 AM,09:49 PM,06:17 AM,05:58 PM,16,21,22,21,12,70,80,1.1,1014,25,8,181,8
2020-02-29,21,14,0.0,4.3,4,4,38,09:38 AM,10:39 PM,06:16 AM,05:58 PM,16,18,18,18,11,59,85,0.7,1012,21,9,177,6
2020-03-01,24,16,0.0,4.3,5,5,44,10:14 AM,11:31 PM,06:16 AM,05:58 PM,18,21,21,21,6,91,86,0.5,1012,24,6,166,4
2020-03-02,25,18,0.0,5.8,5,5,51,10:54 AM,No moonset,06:15 AM,05:59 PM,18,21,22,21,12,78,85,5.5,1013,25,10,169,8
2020-03-03,20,13,0.0,4.3,4,4,58,11:38 AM,12:25 AM,06:14 AM,05:59 PM,17,18,18,18,11,81,91,3.2,1013,20,8,162,7
2020-03-04,17,7,0.0,5.9,3,3,65,12:27 PM,01:22 AM,06:13 AM,06:00 PM,13,14,14,14,7,98,92,7.1,1017,17,10,44,4
2020-03-05,17,9,0.0,5.9,3,3,73,01:23 PM,02:18 AM,06:12 AM,06:00 PM,12,14,14,14,7,93,83,0.2,1018,17,9,144,4
2020-03-06,21,13,0.0,10.2,5,5,80,02:24 PM,03:16 AM,06:11 AM,06:01 PM,15,17,17,17,11,54,84,0.0,1013,21,9,179,7
2020-03-07,24,17,0.0,10.2,5,5,87,03:28 PM,04:11 AM,06:11 AM,06:01 PM,17,21,21,21,9,38,82,0.0,1010,24,7,199,5
2020-03-08,29,19,0.0,11.6,7,7,95,04:34 PM,05:03 AM,06:10 AM,06:01 PM,18,24,24,23,8,38,76,0.0,1005,29,7,214,6
2020-03-09,32,22,0.0,11.6,7,7,100,05:41 PM,05:51 AM,06:09 AM,06:02 PM,18,27,27,25,6,12,66,0.0,1005,32,10,123,5
2020-03-10,19,14,0.0,8.8,4,4,100,06:46 PM,06:37 AM,06:08 AM,06:02 PM,12,18,18,18,9,50,68,0.6,1016,19,9,134,7
2020-03-11,22,13,0.0,6.0,4,4,84,07:51 PM,07:21 AM,06:07 AM,06:02 PM,13,17,18,17,7,92,71,0.0,1015,22,10,175,5
2020-03-12,24,17,0.0,10.2,6,6,76,08:54 PM,08:03 AM,06:06 AM,06:03 PM,18,22,22,21,11,49,81,0.1,1011,24,9,184,7
2020-03-13,27,21,0.0,7.4,6,6,69,09:58 PM,08:47 AM,06:05 AM,06:03 PM,20,26,26,24,5,69,80,0.2,1014,27,8,59,4
2020-03-14,22,19,0.0,11.6,6,6,62,11:01 PM,09:32 AM,06:04 AM,06:04 PM,14,20,21,20,6,50,68,0.0,1019,22,10,93,5
2020-03-15,22,18,0.0,6.0,5,5,55,No moonrise,10:19 AM,06:03 AM,06:04 PM,14,19,20,19,6,81,73,0.0,1017,22,10,163,5
2020-03-16,22,19,0.0,6.0,5,5,47,12:02 AM,11:09 AM,06:02 AM,06:04 PM,18,20,21,20,6,98,89,0.1,1015,22,9,145,6
2020-03-17,23,19,0.0,6.0,5,5,40,01:01 AM,12:02 PM,06:02 AM,06:05 PM,20,22,22,21,7,100,91,7.1,1016,23,8,118,5
2020-03-18,18,12,0.0,6.0,4,4,33,01:56 AM,12:55 PM,06:01 AM,06:05 PM,15,16,17,16,6,97,88,8.0,1014,18,10,133,5
2020-03-19,19,17,0.0,11.7,4,4,25,02:46 AM,01:50 PM,06:00 AM,06:05 PM,15,18,18,18,3,71,84,3.2,1015,19,9,157,2
2020-03-20,25,16,0.0,9.1,5,5,18,03:32 AM,02:43 PM,05:59 AM,06:06 PM,16,20,21,20,8,77,79,0.0,1013,25,10,172,6
2020-03-21,28,20,0.0,12.5,7,7,11,04:13 AM,03:36 PM,05:58 AM,06:06 PM,20,25,25,23,9,43,83,0.1,1011,28,7,188,8
2020-03-22,30,21,0.0,11.8,6,6,4,04:51 AM,04:27 PM,05:57 AM,06:06 PM,21,27,27,25,8,53,81,0.2,1011,30,7,186,7
2020-03-23,26,16,0.0,7.8,5,5,0,05:27 AM,05:18 PM,05:56 AM,06:07 PM,19,24,24,22,9,80,84,2.8,1012,26,7,179,6
2020-03-24,27,20,0.0,9.2,5,5,0,06:00 AM,06:06 PM,05:55 AM,06:07 PM,19,24,24,22,11,69,82,1.5,1011,27,9,189,8
2020-03-25,25,15,0.0,7.8,5,5,3,06:32 AM,06:55 PM,05:54 AM,06:07 PM,19,23,23,21,15,85,86,24.9,1009,25,7,181,9
2020-03-26,26,20,0.0,7.8,5,5,11,07:05 AM,07:45 PM,05:53 AM,06:08 PM,19,24,24,23,17,71,84,7.1,1008,26,10,189,10
2020-03-27,30,20,0.0,7.9,6,6,18,07:39 AM,08:34 PM,05:52 AM,06:08 PM,21,27,27,25,11,73,82,2.0,1009,30,8,188,8
2020-03-28,20,10,0.0,7.9,4,4,25,08:13 AM,09:26 PM,05:51 AM,06:08 PM,18,18,20,18,7,97,88,5.2,1012,20,10,99,5
2020-03-29,21,17,0.0,7.9,4,4,32,08:52 AM,10:19 PM,05:50 AM,06:09 PM,18,19,20,19,9,89,92,1.4,1009,21,7,168,6
2020-03-30,20,13,0.0,7.9,4,4,40,09:34 AM,11:14 PM,05:49 AM,06:09 PM,15,17,18,17,10,94,81,1.0,1010,20,7,139,7
2020-03-31,19,13,0.0,7.9,4,4,44,10:20 AM,No moonset,05:48 AM,06:10 PM,13,17,18,17,5,88,75,0.0,1013,19,10,125,4
2020-04-01,22,14,0.0,7.9,4,4,56,11:12 AM,12:09 AM,05:48 AM,06:10 PM,13,18,18,18,8,80,71,0.4,1013,22,10,139,5
2020-04-02,20,15,0.0,7.9,4,4,64,12:09 PM,01:05 AM,05:47 AM,06:10 PM,17,18,19,18,6,100,89,2.0,1014,20,7,140,5
2020-04-03,22,18,0.0,7.9,5,5,71,01:10 PM,01:59 AM,05:46 AM,06:11 PM,19,20,21,20,8,100,92,1.9,1014,22,5,126,6
2020-04-04,20,17,0.0,7.9,4,4,79,02:13 PM,02:50 AM,05:45 AM,06:11 PM,16,18,18,18,6,100,88,6.8,1017,20,8,98,5
