date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,22,14,0.0,11.1,5,5,3,07:36 AM,06:45 PM,08:32 AM,07:39 PM,8,18,18,18,6,26,55,0.0,1015,22,10,231,4
2020-01-24,26,14,0.0,11.1,5,5,0,08:26 AM,07:40 PM,08:32 AM,07:40 PM,9,19,19,19,5,12,53,0.0,1015,26,10,152,4
2020-01-25,23,14,0.0,11.1,5,5,0,09:13 AM,08:33 PM,08:32 AM,07:40 PM,10,18,18,18,9,30,61,0.2,1016,23,10,220,7
2020-01-26,23,14,0.0,11.1,5,5,4,09:55 AM,09:26 PM,08:31 AM,07:41 PM,9,18,18,18,8,23,60,0.9,1017,23,10,238,6
2020-01-27,26,11,0.0,11.1,5,5,11,10:33 AM,10:17 PM,08:31 AM,07:42 PM,5,18,18,18,7,3,49,0.0,1017,26,10,187,5
2020-01-28,28,12,0.0,11.1,6,6,18,11:09 AM,11:06 PM,08:31 AM,07:42 PM,3,20,20,20,4,0,37,0.0,1015,28,10,166,3
2020-01-29,25,12,0.0,11.1,5,5,26,11:43 AM,11:54 PM,08:31 AM,07:43 PM,3,18,18,18,9,4,40,0.0,1014,25,10,160,6
2020-01-30,21,12,0.0,11.1,5,5,33,12:16 PM,No moonset,08:30 AM,07:43 PM,6,16,16,16,12,17,54,0.0,1015,21,10,246,9
2020-01-31,24,11,0.0,11.1,5,5,37,12:50 PM,12:42 AM,08:30 AM,07:44 PM,5,17,17,17,7,13,55,0.0,1015,24,10,176,5
2020-02-01,22,14,0.0,11.2,5,5,49,01:25 PM,01:32 AM,08:30 AM,07:45 PM,3,17,17,17,10,43,40,0.0,1019,22,10,50,8
2020-02-02,24,14,0.0,11.2,5,5,57,02:02 PM,02:21 AM,08:30 AM,07:45 PM,7,18,18,18,6,42,51,0.0,1019,24,10,134,5
