date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,14,7,0.0,10.3,3,3,3,04:44 AM,06:21 PM,06:01 AM,07:06 PM,5,9,10,9,10,58,73,1.8,1014,14,10,100,8
2020-01-24,16,7,0.0,11.6,4,4,0,05:39 AM,07:10 PM,06:02 AM,07:06 PM,2,10,11,10,13,23,58,0.4,1014,16,10,108,11
2020-01-25,16,6,0.0,11.6,4,4,0,06:33 AM,07:55 PM,06:02 AM,07:06 PM,-1,11,11,11,12,4,49,0.0,1016,16,10,86,10
2020-01-26,17,6,0.0,10.3,3,3,4,07:26 AM,08:36 PM,06:03 AM,07:06 PM,2,11,11,11,9,23,59,0.1,1016,17,10,43,7
2020-01-27,12,7,0.0,6.5,3,3,11,08:17 AM,09:14 PM,06:03 AM,07:06 PM,5,7,9,7,15,67,76,11.1,1016,12,9,29,11
2020-01-28,16,6,0.0,7.8,3,3,18,09:07 AM,09:50 PM,06:04 AM,07:05 PM,4,10,10,10,11,70,68,6.0,1013,16,9,327,8
2020-01-29,16,7,0.0,10.3,3,3,26,09:55 AM,10:23 PM,06:05 AM,07:05 PM,1,11,11,11,9,33,54,0.6,1011,16,10,242,7
2020-01-30,13,8,0.0,6.5,3,3,33,10:43 AM,10:57 PM,06:05 AM,07:05 PM,5,9,10,9,14,78,73,9.0,1014,13,9,45,10
2020-01-31,13,7,0.0,7.8,3,3,37,11:31 AM,11:32 PM,06:06 AM,07:05 PM,6,8,10,8,13,70,79,12.4,1016,13,9,40,9
2020-02-01,15,8,0.0,7.8,3,3,49,12:19 PM,No moonset,06:06 AM,07:04 PM,6,10,11,10,11,62,74,6.0,1014,15,9,40,8
2020-02-02,17,7,0.0,11.6,3,3,57,01:10 PM,12:08 AM,06:07 AM,07:04 PM,5,11,11,11,9,55,70,2.8,1014,17,9,55,7
2020-02-03,14,6,0.0,7.8,3,3,64,02:03 PM,12:47 AM,06:08 AM,07:04 PM,5,9,10,9,13,62,73,10.4,1015,14,9,47,10
2020-02-04,16,6,0.0,9.0,3,3,72,02:59 PM,01:30 AM,06:08 AM,07:03 PM,4,9,10,9,11,42,69,6.4,1011,16,9,259,7
2020-02-05,17,7,0.0,11.6,3,3,79,03:57 PM,02:18 AM,06:09 AM,07:03 PM,3,12,12,12,9,24,58,2.3,1010,17,10,160,7
2020-02-06,16,8,0.0,10.3,3,3,87,04:56 PM,03:13 AM,06:09 AM,07:02 PM,4,11,12,11,10,44,63,4.8,1012,16,9,57,8
2020-02-07,14,8,0.0,6.5,3,3,95,05:54 PM,04:12 AM,06:10 AM,07:02 PM,5,9,10,9,11,66,72,5.9,1015,14,10,68,8
2020-02-08,13,7,0.0,7.7,3,3,100,06:49 PM,05:16 AM,06:10 AM,07:01 PM,5,8,9,8,10,65,77,7.2,1016,13,9,64,7
2020-02-09,14,6,0.0,11.6,3,3,100,07:41 PM,06:21 AM,06:11 AM,07:01 PM,4,8,9,8,14,46,71,1.5,1017,14,10,109,11
2020-02-10,14,6,0.0,11.6,4,4,83,08:29 PM,07:26 AM,06:11 AM,07:01 PM,3,9,10,9,13,27,66,0.2,1018,14,10,82,11
