date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,15,7,0.0,11.0,4,4,3,07:43 AM,06:38 PM,08:37 AM,07:34 PM,2,10,11,10,10,8,57,0.0,1015,15,10,274,6
2020-01-24,16,6,0.0,8.5,3,3,0,08:32 AM,07:34 PM,08:37 AM,07:34 PM,-1,11,11,11,11,26,45,0.0,1015,16,10,193,8
2020-01-25,13,10,0.0,8.5,3,3,0,09:18 AM,08:28 PM,08:36 AM,07:35 PM,4,9,11,9,19,53,64,1.3,1017,13,10,241,14
2020-01-26,13,7,0.0,7.0,3,3,4,09:59 AM,09:22 PM,08:36 AM,07:36 PM,5,10,10,10,9,63,72,8.6,1019,13,9,268,6
2020-01-27,17,6,0.0,11.0,4,4,11,10:37 AM,10:14 PM,08:36 AM,07:37 PM,1,10,11,10,16,14,55,0.1,1017,17,10,210,11
2020-01-28,15,5,0.0,11.0,4,4,18,11:11 AM,11:04 PM,08:36 AM,07:37 PM,-3,10,11,10,11,1,44,0.0,1016,15,10,166,7
2020-01-29,16,5,0.0,11.0,4,4,26,11:44 AM,11:54 PM,08:35 AM,07:38 PM,-3,8,10,8,23,11,42,0.0,1015,16,10,183,16
2020-01-30,13,5,0.0,11.0,3,3,33,12:16 PM,No moonset,08:35 AM,07:39 PM,-2,5,8,5,36,15,53,0.0,1012,13,10,233,27
2020-01-31,12,1,0.0,11.0,3,3,37,12:48 PM,12:43 AM,08:35 AM,07:39 PM,-4,5,6,5,10,9,50,0.0,1018,12,10,186,7
2020-02-01,7,2,0.0,8.6,2,2,49,01:22 PM,01:34 AM,08:34 AM,07:40 PM,-2,3,5,3,11,45,59,3.9,1026,7,9,96,9
2020-02-02,14,6,0.0,8.6,3,3,57,01:58 PM,02:25 AM,08:34 AM,07:41 PM,5,8,9,8,18,63,73,5.2,1021,14,8,189,15
2020-02-03,12,7,0.0,8.6,2,2,64,02:38 PM,03:19 AM,08:33 AM,07:41 PM,6,6,9,6,37,56,80,31.1,1016,12,8,224,28
2020-02-04,14,5,0.0,11.1,3,3,72,03:24 PM,04:14 AM,08:33 AM,07:42 PM,2,5,9,5,45,16,66,0.0,1014,14,10,225,34
2020-02-05,12,6,0.0,11.1,3,3,79,04:14 PM,05:13 AM,08:32 AM,07:43 PM,-0,4,8,4,59,10,58,0.0,1011,12,10,228,46
2020-02-06,16,2,0.0,11.1,3,3,87,05:12 PM,06:12 AM,08:32 AM,07:43 PM,-7,6,9,6,29,0,36,0.0,1012,16,10,264,18
2020-02-07,19,5,0.0,11.1,4,4,95,06:14 PM,07:11 AM,08:31 AM,07:44 PM,-4,11,12,11,15,1,37,0.0,1014,19,10,222,9
2020-02-08,19,5,0.0,11.1,4,4,100,07:21 PM,08:06 AM,08:31 AM,07:45 PM,-4,12,13,12,15,16,36,0.0,1017,19,10,209,9
2020-02-09,19,8,0.0,11.2,4,4,100,08:27 PM,08:58 AM,08:30 AM,07:45 PM,-1,12,13,12,25,16,38,0.0,1016,19,10,221,17
2020-02-10,18,8,0.0,11.2,4,4,83,09:34 PM,09:45 AM,08:30 AM,07:46 PM,6,12,13,12,29,11,65,0.0,1016,18,10,218,22
2020-02-11,18,9,0.0,11.2,4,4,75,10:38 PM,10:29 AM,08:29 AM,07:47 PM,4,12,13,12,31,8,58,0.0,1014,18,10,209,22
2020-02-12,17,8,0.0,11.2,4,4,68,11:41 PM,11:11 AM,08:28 AM,07:47 PM,-1,10,12,10,40,13,48,0.0,1013,17,10,227,31
2020-02-13,18,3,0.0,11.2,4,4,60,No moonrise,11:52 AM,08:28 AM,07:48 PM,-9,10,11,10,15,0,29,0.0,1015,18,10,168,10
2020-02-14,19,5,0.0,11.2,4,4,53,12:43 AM,12:33 PM,08:27 AM,07:48 PM,-8,12,13,12,18,3,26,0.0,1017,19,10,201,12
2020-02-15,20,9,0.0,11.2,3,3,45,01:45 AM,01:16 PM,08:26 AM,07:49 PM,2,14,14,14,16,14,44,0.0,1018,20,10,212,11
2020-02-16,22,10,0.0,11.2,5,5,38,02:45 AM,02:00 PM,08:26 AM,07:49 PM,2,16,16,16,9,6,44,0.0,1016,22,10,227,6
2020-02-17,22,13,0.0,11.3,5,5,30,03:46 AM,02:48 PM,08:25 AM,07:50 PM,4,17,17,17,6,15,43,0.0,1013,22,10,317,4
