date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,3,-4,6.8,5.3,1,1,3,06:24 AM,03:33 PM,07:29 AM,05:03 PM,-4,-2,-0,-2,11,53,74,8.0,1012,3,8,238,7
2020-01-24,-3,-9,10.8,3.7,1,1,0,07:15 AM,04:31 PM,07:28 AM,05:05 PM,-8,-9,-6,-9,10,87,88,12.7,1023,-3,3,250,7
2020-01-25,5,-8,0.0,5.3,1,1,0,07:57 AM,05:33 PM,07:27 AM,05:06 PM,-8,-4,-2,-4,10,46,61,0.0,1026,5,10,107,5
2020-01-26,5,-2,0.0,8.7,2,2,4,08:32 AM,06:34 PM,07:26 AM,05:07 PM,-4,1,1,1,5,17,69,0.0,1023,5,10,115,3
2020-01-27,5,-3,0.0,8.7,2,2,11,09:03 AM,07:37 PM,07:25 AM,05:09 PM,-3,-0,1,-0,7,9,75,0.0,1026,5,10,82,4
2020-01-28,6,-1,0.0,8.7,2,2,18,09:29 AM,08:37 PM,07:24 AM,05:10 PM,-3,1,2,1,5,16,69,0.0,1020,6,10,158,3
2020-01-29,5,0,0.0,3.7,1,1,26,09:53 AM,09:37 PM,07:23 AM,05:11 PM,-1,2,2,2,5,63,78,0.0,1015,5,10,275,3
2020-01-30,8,0,0.0,8.7,2,2,33,10:15 AM,10:36 PM,07:22 AM,05:13 PM,-2,3,4,3,6,11,69,0.0,1014,8,10,121,4
2020-01-31,3,-1,2.0,3.7,1,1,37,10:38 AM,11:36 PM,07:21 AM,05:14 PM,-1,-0,0,-0,6,69,93,2.3,1010,3,7,219,4
2020-02-01,2,-3,8.8,5.4,1,1,49,11:02 AM,No moonset,07:20 AM,05:15 PM,-2,-1,-1,-1,4,72,92,10.4,1014,2,6,91,3
