date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,32,24,0.0,8.7,7,7,3,04:44 AM,04:35 PM,06:16 AM,05:56 PM,20,28,28,27,24,9,70,0.0,1012,32,10,90,17
2020-01-24,33,23,0.0,8.7,7,7,0,05:38 AM,05:29 PM,06:17 AM,05:57 PM,20,29,29,27,21,12,71,0.0,1012,33,10,96,15
2020-01-25,31,23,0.0,7.2,7,7,0,06:28 AM,06:21 PM,06:17 AM,05:57 PM,22,29,29,26,20,40,77,0.0,1011,31,9,107,14
2020-01-26,34,22,0.0,8.7,7,7,4,07:16 AM,07:12 PM,06:17 AM,05:57 PM,21,29,29,27,12,26,76,0.0,1010,34,8,109,9
2020-01-27,32,22,0.0,8.7,7,7,11,07:59 AM,08:00 PM,06:17 AM,05:58 PM,21,28,28,26,15,14,77,0.0,1011,32,7,113,11
2020-01-28,31,22,0.0,8.7,7,7,18,08:40 AM,08:46 PM,06:17 AM,05:58 PM,21,28,28,26,17,32,77,0.0,1011,31,10,105,12
2020-01-29,31,22,0.0,8.7,7,7,26,09:19 AM,09:31 PM,06:17 AM,05:59 PM,21,28,28,26,18,23,77,0.0,1012,31,9,102,13
2020-01-30,31,21,0.0,7.2,6,6,33,09:57 AM,10:15 PM,06:17 AM,05:59 PM,21,28,28,25,22,55,75,0.8,1012,31,10,95,15
2020-01-31,31,24,0.0,8.7,7,7,37,10:34 AM,10:59 PM,06:17 AM,05:59 PM,19,27,27,26,29,29,65,0.0,1012,31,10,94,21
2020-02-01,30,20,0.0,11.6,7,7,49,11:12 AM,11:45 PM,06:17 AM,06:00 PM,18,27,27,25,30,14,65,0.0,1013,30,10,91,22
2020-02-02,31,23,0.0,11.6,7,7,57,11:52 AM,No moonset,06:17 AM,06:00 PM,18,27,27,26,26,6,64,0.0,1014,31,10,87,18
2020-02-03,31,23,0.0,11.6,7,7,64,12:34 PM,12:32 AM,06:16 AM,06:00 PM,19,28,28,26,23,4,67,0.0,1013,31,10,91,16
2020-02-04,32,23,0.0,11.6,7,7,72,01:21 PM,01:22 AM,06:16 AM,06:01 PM,20,29,29,26,26,16,70,0.0,1012,32,10,88,18
