date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,27,17,0.0,8.7,6,6,3,05:06 AM,04:08 PM,06:29 AM,05:31 PM,13,22,22,21,10,20,59,0.0,1015,27,10,275,7
2020-01-24,28,17,0.0,8.7,6,6,0,05:59 AM,05:03 PM,06:29 AM,05:32 PM,3,20,20,20,5,1,34,0.0,1015,28,10,303,4
2020-01-25,25,14,0.0,8.7,6,6,0,06:47 AM,05:58 PM,06:29 AM,05:32 PM,2,20,19,20,6,0,33,0.0,1015,25,10,300,4
2020-01-26,25,15,0.0,8.7,6,6,4,07:31 AM,06:51 PM,06:29 AM,05:33 PM,4,20,19,20,7,0,36,0.0,1013,25,10,278,5
2020-01-27,25,15,0.0,8.7,6,6,11,08:10 AM,07:44 PM,06:29 AM,05:34 PM,4,20,20,20,5,1,37,0.0,1013,25,10,278,4
2020-01-28,28,15,0.0,8.7,6,6,18,08:47 AM,08:34 PM,06:28 AM,05:34 PM,7,20,20,20,7,22,44,0.0,1013,28,10,84,4
2020-01-29,28,17,0.0,5.7,5,5,26,09:21 AM,09:24 PM,06:28 AM,05:35 PM,15,23,23,23,9,47,64,0.6,1013,28,10,269,6
2020-01-30,26,17,0.0,8.7,6,6,33,09:54 AM,10:12 PM,06:28 AM,05:36 PM,12,21,21,21,10,13,58,0.0,1013,26,10,295,7
2020-01-31,25,13,0.0,8.7,6,6,37,10:27 AM,11:01 PM,06:27 AM,05:36 PM,6,19,19,19,8,2,45,0.0,1014,25,10,296,5
2020-02-01,26,15,0.0,8.7,6,6,49,11:00 AM,11:51 PM,06:27 AM,05:37 PM,6,20,20,20,7,27,42,0.0,1016,26,10,285,5
2020-02-02,24,14,0.0,8.7,6,6,57,11:36 AM,No moonset,06:27 AM,05:38 PM,5,19,19,19,8,16,42,0.0,1018,24,10,314,6
2020-02-03,26,14,0.0,8.7,6,6,64,12:14 PM,12:43 AM,06:26 AM,05:38 PM,6,19,19,19,8,8,43,0.0,1017,26,10,322,5
2020-02-04,27,13,0.0,7.2,5,5,72,12:57 PM,01:37 AM,06:26 AM,05:39 PM,12,20,19,20,7,43,63,0.7,1015,27,9,196,4
2020-02-05,26,16,0.0,8.7,6,6,79,01:45 PM,02:34 AM,06:25 AM,05:40 PM,12,21,21,21,8,32,61,3.0,1014,26,10,287,6
2020-02-06,26,15,0.0,8.7,6,6,87,02:39 PM,03:33 AM,06:25 AM,05:40 PM,8,21,21,21,7,32,47,0.0,1015,26,10,225,5
2020-02-07,19,13,0.0,4.2,4,4,95,03:40 PM,04:31 AM,06:25 AM,05:41 PM,13,16,16,16,7,83,84,34.1,1017,19,9,97,5
2020-02-08,16,14,0.0,4.2,4,4,100,04:44 PM,05:29 AM,06:24 AM,05:41 PM,13,15,15,15,6,79,89,1.6,1019,16,8,96,4
2020-02-09,23,13,0.0,7.2,4,4,100,05:50 PM,06:23 AM,06:24 AM,05:42 PM,12,18,18,18,5,47,70,0.2,1019,23,8,156,4
2020-02-10,25,15,0.0,8.7,6,6,83,06:56 PM,07:14 AM,06:23 AM,05:43 PM,5,20,20,20,6,0,41,0.0,1017,25,10,305,4
