date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,20,8,0.0,8.7,5,5,3,05:50 AM,04:08 PM,07:07 AM,05:35 PM,-0,12,13,12,19,0,44,0.0,1020,20,10,333,11
2020-01-24,21,9,0.0,8.7,5,5,0,06:42 AM,05:04 PM,07:06 AM,05:36 PM,-4,13,14,13,15,7,30,0.0,1016,21,10,285,8
2020-01-25,21,11,0.0,8.7,5,5,0,07:28 AM,06:02 PM,07:06 AM,05:36 PM,-2,15,15,15,9,36,32,0.0,1016,21,10,225,5
2020-01-26,22,11,0.0,8.7,5,5,4,08:09 AM,06:58 PM,07:06 AM,05:37 PM,3,15,16,15,9,9,46,0.0,1015,22,10,239,6
2020-01-27,17,10,0.0,3.9,3,3,11,08:45 AM,07:54 PM,07:05 AM,05:38 PM,7,12,13,12,12,68,71,7.5,1013,17,9,173,7
2020-01-28,12,10,0.0,3.9,3,3,18,09:18 AM,08:49 PM,07:05 AM,05:39 PM,10,10,11,10,20,91,92,25.5,1012,12,7,31,13
2020-01-29,18,9,0.0,7.1,3,3,26,09:48 AM,09:42 PM,07:04 AM,05:40 PM,8,12,12,12,14,44,78,1.0,1017,18,8,255,9
2020-01-30,18,8,0.0,8.7,4,4,33,10:17 AM,10:35 PM,07:03 AM,05:41 PM,6,12,12,12,10,4,68,0.0,1018,18,10,316,7
2020-01-31,19,10,0.0,8.7,5,5,37,10:45 AM,11:28 PM,07:03 AM,05:42 PM,3,13,13,13,11,7,54,0.0,1015,19,10,288,7
2020-02-01,19,9,0.0,8.7,5,5,49,11:15 AM,No moonset,07:02 AM,05:43 PM,4,14,14,14,7,5,52,0.0,1018,19,10,126,5
2020-02-02,21,10,0.0,8.7,5,5,57,11:47 AM,12:22 AM,07:02 AM,05:44 PM,2,15,15,15,10,0,45,0.0,1019,21,10,302,6
2020-02-03,23,10,0.0,8.7,5,5,64,12:21 PM,01:18 AM,07:01 AM,05:45 PM,1,15,16,15,7,2,39,0.0,1018,23,10,207,4
2020-02-04,18,9,0.0,8.7,4,4,72,01:01 PM,02:16 AM,07:00 AM,05:46 PM,2,12,12,12,14,46,51,0.0,1018,18,10,120,8
2020-02-05,20,8,0.0,8.7,5,5,79,01:47 PM,03:16 AM,07:00 AM,05:46 PM,3,13,13,13,13,5,54,0.0,1018,20,10,305,8
2020-02-06,20,9,0.0,8.7,4,4,87,02:40 PM,04:16 AM,06:59 AM,05:47 PM,1,14,14,14,11,17,44,0.0,1015,20,10,293,7
2020-02-07,21,9,0.0,8.7,5,5,95,03:41 PM,05:16 AM,06:58 AM,05:48 PM,2,15,16,15,9,1,44,0.0,1019,21,10,253,5
2020-02-08,23,10,0.0,8.7,5,5,100,04:47 PM,06:11 AM,06:57 AM,05:49 PM,-1,16,17,16,8,0,36,0.0,1020,23,10,228,5
2020-02-09,24,10,0.0,8.7,5,5,100,05:57 PM,07:03 AM,06:56 AM,05:50 PM,0,17,17,17,6,0,36,0.0,1021,24,10,188,4
2020-02-10,24,10,0.0,8.7,5,5,83,07:07 PM,07:49 AM,06:56 AM,05:51 PM,-0,17,17,17,8,3,33,0.0,1019,24,10,290,5
2020-02-11,23,12,0.0,8.7,5,5,75,08:17 PM,08:30 AM,06:55 AM,05:52 PM,1,17,17,17,12,14,38,0.0,1019,23,10,123,7
