date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,27,17,0.0,11.1,6,6,3,06:38 AM,05:50 PM,07:37 AM,06:45 PM,16,22,22,21,23,6,71,0.0,1014,27,10,203,15
2020-01-24,27,19,0.0,10.1,5,5,0,07:29 AM,06:44 PM,07:37 AM,06:46 PM,19,23,23,22,18,47,84,1.1,1016,27,9,251,12
2020-01-25,27,19,0.0,11.1,6,6,0,08:15 AM,07:39 PM,07:37 AM,06:47 PM,17,24,24,23,23,16,74,0.0,1017,27,10,149,15
2020-01-26,29,20,0.0,11.1,6,6,4,08:58 AM,08:30 PM,07:36 AM,06:47 PM,18,26,26,24,21,10,73,0.0,1015,29,10,191,14
2020-01-27,27,20,0.0,11.1,6,6,11,09:37 AM,09:21 PM,07:36 AM,06:48 PM,19,25,25,23,16,13,79,0.0,1013,27,10,234,11
2020-01-28,30,21,0.0,11.1,7,7,18,10:13 AM,10:10 PM,07:36 AM,06:48 PM,20,26,26,24,18,14,78,0.0,1011,30,10,228,11
2020-01-29,27,21,0.0,7.1,5,5,26,10:47 AM,10:58 PM,07:36 AM,06:49 PM,20,26,26,24,18,62,82,2.6,1013,27,10,241,12
2020-01-30,28,20,0.0,11.2,6,6,33,11:21 AM,11:46 PM,07:35 AM,06:50 PM,18,24,24,23,19,38,74,0.0,1013,28,10,235,13
2020-01-31,30,22,0.0,8.6,6,6,37,11:55 AM,No moonset,07:35 AM,06:50 PM,21,27,27,24,17,41,83,1.1,1012,30,9,246,12
2020-02-01,24,21,0.0,7.1,5,5,49,12:30 PM,12:34 AM,07:35 AM,06:51 PM,20,25,25,23,29,56,82,0.6,1019,24,10,9,20
2020-02-02,23,19,0.0,11.2,6,6,57,01:07 PM,01:25 AM,07:35 AM,06:51 PM,15,21,22,21,23,19,69,0.0,1022,23,10,240,16
2020-02-03,28,17,0.0,11.2,6,6,64,01:49 PM,02:16 AM,07:34 AM,06:52 PM,15,23,23,22,22,0,67,0.0,1017,28,10,196,14
2020-02-04,30,21,0.0,11.2,7,7,72,02:34 PM,03:11 AM,07:34 AM,06:53 PM,19,26,26,25,20,20,73,0.0,1014,30,10,189,13
2020-02-05,31,23,0.0,11.2,7,7,79,03:26 PM,04:08 AM,07:34 AM,06:53 PM,21,29,29,27,23,32,70,0.0,1009,31,10,195,14
2020-02-06,29,23,0.0,11.2,7,7,87,04:23 PM,05:07 AM,07:33 AM,06:54 PM,21,27,27,25,27,22,79,0.0,1007,29,10,235,19
2020-02-07,27,22,0.0,10.1,5,5,95,05:26 PM,06:06 AM,07:33 AM,06:54 PM,18,26,26,24,25,65,69,0.3,1014,27,9,28,18
2020-02-08,28,21,0.0,11.2,7,7,100,06:30 PM,07:03 AM,07:32 AM,06:55 PM,19,26,26,24,23,42,73,0.0,1016,28,10,173,15
2020-02-09,32,22,0.0,11.2,7,7,100,07:36 PM,07:56 AM,07:32 AM,06:55 PM,20,28,28,26,20,32,70,0.0,1016,32,10,91,13
2020-02-10,32,23,0.0,11.3,7,7,83,08:40 PM,08:45 AM,07:31 AM,06:56 PM,20,28,28,26,24,16,67,0.0,1014,32,10,111,15
2020-02-11,32,22,0.0,10.1,6,6,75,09:43 PM,09:31 AM,07:31 AM,06:56 PM,19,28,28,27,24,26,66,0.0,1013,32,10,120,15
2020-02-12,32,24,0.0,11.3,7,7,68,10:44 PM,10:15 AM,07:30 AM,06:57 PM,20,29,29,27,25,18,66,0.0,1011,32,10,180,16
2020-02-13,31,22,0.0,11.3,7,7,60,11:44 PM,10:57 AM,07:30 AM,06:57 PM,21,28,28,26,22,29,76,0.3,1012,31,9,243,15
2020-02-14,31,22,0.0,11.3,7,7,53,No moonrise,11:41 AM,07:29 AM,06:58 PM,21,27,27,25,21,34,75,0.5,1016,31,9,250,14
2020-02-15,30,22,0.0,11.3,7,7,45,12:43 AM,12:24 PM,07:29 AM,06:58 PM,21,27,27,25,20,18,75,0.0,1017,30,10,254,14
2020-02-16,30,20,0.0,11.3,7,7,38,01:43 AM,01:11 PM,07:28 AM,06:59 PM,19,26,26,25,22,8,74,0.0,1015,30,10,262,14
2020-02-17,30,20,0.0,11.3,7,7,30,02:41 AM,02:00 PM,07:28 AM,06:59 PM,18,27,27,25,19,6,69,0.0,1013,30,10,260,12
2020-02-18,32,22,0.0,11.6,7,7,22,03:39 AM,02:51 PM,07:27 AM,07:00 PM,20,29,29,27,24,18,68,0.0,1013,32,10,105,15
2020-02-19,31,23,0.0,11.6,7,7,15,04:33 AM,03:45 PM,07:26 AM,07:00 PM,22,29,29,26,23,30,75,0.0,1015,31,10,158,15
2020-02-20,31,23,0.0,11.6,7,7,7,05:25 AM,04:38 PM,07:26 AM,07:01 PM,21,28,28,26,23,19,75,0.0,1016,31,10,265,16
2020-02-21,28,24,0.0,10.2,6,6,0,06:12 AM,05:32 PM,07:25 AM,07:01 PM,21,28,28,26,29,47,73,3.6,1020,28,10,253,20
2020-02-22,25,21,0.0,8.7,5,5,0,06:56 AM,06:24 PM,07:24 AM,07:01 PM,18,25,25,23,26,58,72,0.0,1021,25,10,31,19
2020-02-23,26,16,0.0,11.6,6,6,0,07:36 AM,07:15 PM,07:24 AM,07:02 PM,15,21,22,21,21,0,69,0.0,1018,26,10,240,14
2020-02-24,30,19,0.0,11.6,7,7,0,08:12 AM,08:05 PM,07:23 AM,07:02 PM,18,25,25,24,22,1,72,0.0,1012,30,10,216,14
2020-02-25,29,20,0.0,11.6,7,7,8,08:47 AM,08:53 PM,07:22 AM,07:03 PM,19,26,26,24,22,4,76,0.0,1010,29,10,236,15
2020-02-26,28,21,0.0,8.8,6,6,15,09:21 AM,09:41 PM,07:22 AM,07:03 PM,20,26,26,24,25,44,77,0.4,1014,28,10,239,18
2020-02-27,23,20,0.0,7.3,5,5,23,09:54 AM,10:29 PM,07:21 AM,07:03 PM,16,21,23,21,34,80,71,2.3,1023,23,10,118,26
2020-02-28,24,19,0.0,10.2,5,5,30,10:28 AM,11:18 PM,07:20 AM,07:04 PM,15,21,22,21,28,43,69,0.3,1024,24,10,247,22
2020-02-29,26,16,0.0,11.6,6,6,38,11:04 AM,No moonset,07:19 AM,07:04 PM,12,21,22,21,23,3,60,0.0,1024,26,10,147,16
2020-03-01,30,17,0.0,11.6,6,6,44,11:43 AM,12:08 AM,07:19 AM,07:05 PM,15,24,24,23,22,3,62,0.0,1018,30,10,198,15
2020-03-02,32,21,0.0,11.6,7,7,51,12:26 PM,01:01 AM,07:18 AM,07:05 PM,19,28,28,26,24,8,69,0.0,1013,32,10,180,16
2020-03-03,34,23,0.0,11.6,7,7,58,01:14 PM,01:55 AM,07:17 AM,07:05 PM,21,31,31,28,24,15,65,0.0,1010,34,10,183,15
2020-03-04,34,24,0.0,11.6,7,7,65,02:07 PM,02:52 AM,07:16 AM,07:06 PM,21,31,31,28,26,12,65,0.0,1009,34,10,185,17
2020-03-05,28,23,0.0,11.6,7,7,73,03:05 PM,03:49 AM,07:15 AM,07:06 PM,21,28,28,26,22,22,78,0.0,1014,28,10,284,16
2020-03-06,24,23,0.0,10.2,5,5,80,04:08 PM,04:45 AM,07:15 AM,07:06 PM,18,25,25,23,29,55,73,0.2,1021,24,10,346,22
2020-03-07,25,21,0.0,11.6,6,6,87,05:12 PM,05:40 AM,07:14 AM,07:07 PM,17,24,24,23,25,37,70,0.0,1021,25,10,133,18
2020-03-08,28,19,0.0,11.6,6,6,95,06:17 PM,06:31 AM,07:13 AM,07:07 PM,17,24,24,23,23,29,69,0.0,1020,28,10,155,16
2020-03-09,29,19,0.0,11.6,7,7,100,07:22 PM,07:19 AM,07:12 AM,07:07 PM,17,25,25,24,25,12,68,0.0,1020,29,10,166,16
2020-03-10,29,20,0.0,11.6,6,6,100,08:26 PM,08:04 AM,07:11 AM,07:08 PM,18,26,26,24,27,9,71,0.0,1020,29,10,255,19
2020-03-11,27,20,0.0,11.6,6,6,84,09:29 PM,08:49 AM,07:11 AM,07:08 PM,19,25,25,24,23,16,74,0.0,1017,27,10,253,16
2020-03-12,31,21,0.0,11.6,7,7,76,10:31 PM,09:33 AM,07:10 AM,07:08 PM,19,27,27,25,21,16,71,0.0,1013,31,10,260,14
2020-03-13,31,21,0.0,11.6,7,7,69,11:33 PM,10:18 AM,07:09 AM,07:08 PM,19,27,27,25,25,8,67,0.0,1014,31,10,164,17
