date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,4,-4,0.0,8.7,2,2,3,08:10 AM,04:55 PM,09:05 AM,06:23 PM,-8,-5,-2,-5,16,9,64,0.0,1029,4,10,142,8
2020-01-24,5,-5,0.0,8.7,2,2,0,08:59 AM,05:55 PM,09:04 AM,06:24 PM,-7,-4,-2,-4,11,31,71,0.1,1026,5,10,180,6
2020-01-25,6,-6,0.0,8.7,2,2,0,09:39 AM,06:58 PM,09:03 AM,06:26 PM,-5,-4,-2,-4,10,31,80,0.0,1023,6,10,248,5
2020-01-26,5,-6,0.0,8.7,2,2,4,10:12 AM,08:02 PM,09:02 AM,06:27 PM,-5,-3,-1,-3,9,39,82,0.1,1021,5,10,240,5
2020-01-27,5,-6,0.7,3.5,1,1,11,10:40 AM,09:05 PM,09:01 AM,06:28 PM,-4,-4,-1,-4,16,76,82,2.6,1017,5,8,189,9
2020-01-28,2,-3,14.6,4.7,1,1,18,11:04 AM,10:08 PM,09:00 AM,06:30 PM,-1,-5,-1,-5,21,97,97,35.5,1010,2,3,253,13
2020-01-29,1,-3,25.2,4.9,1,1,26,11:26 AM,11:10 PM,08:59 AM,06:31 PM,-1,-3,-0,-3,11,94,98,28.2,1017,1,2,267,8
2020-01-30,5,-8,0.1,4.9,1,1,33,11:47 AM,No moonset,08:58 AM,06:33 PM,-5,-5,-2,-5,16,61,80,8.7,1019,5,8,184,8
2020-01-31,6,-1,0.0,4.9,1,1,37,12:07 PM,12:11 AM,08:57 AM,06:34 PM,1,0,2,0,11,87,97,11.9,1018,6,4,179,5
2020-02-01,6,-2,0.0,6.6,1,1,49,12:28 PM,01:13 AM,08:56 AM,06:36 PM,0,-1,1,-1,15,62,93,12.5,1018,6,8,206,8
2020-02-02,6,-3,0.0,4.9,1,1,57,12:52 PM,02:16 AM,08:54 AM,06:37 PM,1,-1,2,-1,17,92,96,33.8,1021,6,7,199,9
2020-02-03,6,0,0.0,8.3,1,1,64,01:20 PM,03:21 AM,08:53 AM,06:39 PM,2,1,4,1,19,68,89,11.9,1022,6,7,205,10
2020-02-04,2,-2,13.8,4.9,1,1,72,01:54 PM,04:26 AM,08:52 AM,06:40 PM,-2,-5,-1,-5,23,88,91,21.6,1019,2,3,294,15
2020-02-05,1,-7,5.4,9.9,1,1,79,02:35 PM,05:33 AM,08:50 AM,06:42 PM,-5,-4,-1,-4,11,42,85,4.8,1031,1,7,29,8
2020-02-06,3,-10,0.0,9.9,1,1,87,03:28 PM,06:37 AM,08:49 AM,06:43 PM,-9,-5,-3,-5,9,22,68,0.0,1029,3,10,238,5
2020-02-07,7,-7,0.0,10.0,1,1,95,04:30 PM,07:36 AM,08:48 AM,06:45 PM,-7,-3,-1,-3,11,0,69,0.0,1025,7,9,199,5
2020-02-08,6,-6,0.0,10.0,1,1,100,05:44 PM,08:26 AM,08:46 AM,06:46 PM,-7,-3,0,-3,12,43,71,0.0,1026,6,9,186,6
2020-02-09,6,-6,0.0,10.0,2,2,100,07:02 PM,09:09 AM,08:45 AM,06:48 PM,-6,-3,-0,-3,18,37,71,0.0,1026,6,10,183,10
2020-02-10,5,-2,0.0,5.0,1,1,83,08:22 PM,09:45 AM,08:43 AM,06:49 PM,1,-1,3,-1,27,93,93,13.3,1017,5,8,241,15
2020-02-11,2,-7,11.0,5.0,1,1,75,09:43 PM,10:15 AM,08:42 AM,06:51 PM,-2,-5,-1,-5,21,82,95,18.5,1018,2,5,237,13
2020-02-12,1,-9,0.4,10.1,1,1,68,11:02 PM,10:43 AM,08:41 AM,06:52 PM,-8,-6,-3,-6,12,36,84,0.3,1024,1,9,247,7
2020-02-13,4,-10,0.0,5.1,1,1,60,No moonrise,11:09 AM,08:39 AM,06:54 PM,-6,-6,-2,-6,20,68,79,20.0,1018,4,8,186,12
2020-02-14,3,-4,12.8,8.3,1,1,53,12:19 AM,11:36 AM,08:37 AM,06:55 PM,-3,-1,1,-1,10,61,92,12.3,1023,3,6,181,6
2020-02-15,6,-7,0.0,10.2,2,2,45,01:36 AM,12:04 PM,08:36 AM,06:57 PM,-8,-4,-1,-4,16,21,64,0.0,1026,6,10,175,8
2020-02-16,5,-2,0.0,10.2,2,2,38,02:50 AM,12:37 PM,08:34 AM,06:58 PM,-7,-2,1,-2,23,20,56,0.0,1023,5,10,169,11
2020-02-17,9,-2,0.0,6.9,1,1,30,04:01 AM,01:15 PM,08:33 AM,07:00 PM,-2,-0,2,-0,16,63,76,21.8,1023,9,9,205,9
2020-02-18,3,-4,3.1,10.0,1,1,22,05:07 AM,01:58 PM,08:31 AM,07:01 PM,-3,-1,0,-1,6,61,89,7.2,1029,3,7,286,4
2020-02-19,2,-8,6.1,5.4,1,1,15,06:06 AM,02:49 PM,08:29 AM,07:03 PM,-4,-5,-2,-5,13,66,87,7.5,1027,2,6,266,8
2020-02-20,8,-7,0.0,10.0,1,1,7,06:56 AM,03:47 PM,08:28 AM,07:04 PM,-6,-1,1,-1,11,24,70,0.0,1025,8,10,203,6
2020-02-21,5,-5,0.0,10.1,1,1,0,07:39 AM,04:48 PM,08:26 AM,07:06 PM,-2,1,2,1,6,37,86,1.0,1029,5,9,137,3
2020-02-22,8,-4,0.0,10.8,2,2,0,08:13 AM,05:51 PM,08:24 AM,07:07 PM,-4,-0,2,-0,10,11,67,0.0,1031,8,10,193,5
2020-02-23,10,-5,0.0,10.9,2,2,0,08:43 AM,06:55 PM,08:23 AM,07:09 PM,-2,-0,2,-0,13,28,72,0.0,1029,10,10,224,7
2020-02-24,12,0,0.0,10.9,3,3,0,09:08 AM,07:58 PM,08:21 AM,07:10 PM,2,3,5,3,11,6,81,0.0,1023,12,10,221,6
2020-02-25,8,-4,3.7,7.0,1,1,8,09:30 AM,09:00 PM,08:19 AM,07:12 PM,-2,-1,2,-1,15,65,78,10.8,1011,8,8,237,10
