date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,3,-3,0.0,8.7,2,2,3,08:10 AM,04:58 PM,09:08 AM,06:27 PM,-3,-3,-0,-3,12,29,82,0.0,1034,3,9,227,7
2020-01-24,5,-3,0.0,8.7,2,2,0,08:59 AM,05:57 PM,09:07 AM,06:29 PM,-6,-2,0,-2,12,4,66,0.0,1030,5,10,111,6
2020-01-25,6,-1,0.0,7.0,1,1,0,09:40 AM,07:00 PM,09:06 AM,06:30 PM,-5,0,2,0,10,41,60,0.0,1025,6,10,179,5
2020-01-26,10,3,0.0,5.2,2,2,4,10:14 AM,08:04 PM,09:05 AM,06:32 PM,2,4,6,4,13,71,78,0.0,1023,10,10,110,6
2020-01-27,5,3,0.0,3.5,1,1,11,10:42 AM,09:07 PM,09:04 AM,06:33 PM,3,3,4,3,10,97,94,18.2,1018,5,7,117,6
2020-01-28,8,1,0.0,3.5,2,2,18,11:07 AM,10:10 PM,09:03 AM,06:35 PM,2,2,5,2,26,78,83,1.2,1011,8,4,173,15
2020-01-29,7,2,0.0,7.0,2,2,26,11:29 AM,11:11 PM,09:02 AM,06:36 PM,2,2,5,2,18,64,81,5.6,1010,7,10,224,12
2020-01-30,6,1,0.6,5.2,1,1,33,11:49 AM,No moonset,09:01 AM,06:37 PM,-0,-0,2,-0,17,62,83,2.2,1018,6,9,260,10
2020-01-31,6,0,0.0,6.4,1,1,37,12:10 PM,12:12 AM,09:00 AM,06:39 PM,0,0,4,0,28,70,75,1.1,1015,6,9,211,15
2020-02-01,12,4,0.0,8.3,2,2,49,12:31 PM,01:14 AM,08:59 AM,06:40 PM,6,6,8,6,20,64,86,0.0,1016,12,9,193,11
