date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,22,11,0.0,8.7,5,5,3,05:11 AM,03:59 PM,06:33 AM,05:24 PM,7,15,16,15,23,0,59,0.0,1015,22,10,270,13
2020-01-24,20,9,0.0,8.7,5,5,0,06:03 AM,04:54 PM,06:33 AM,05:24 PM,7,14,15,14,19,0,60,0.0,1014,20,10,275,12
2020-01-25,21,11,0.0,8.7,5,5,0,06:51 AM,05:50 PM,06:33 AM,05:25 PM,9,16,16,16,11,0,65,0.0,1014,21,10,266,7
2020-01-26,21,12,0.0,8.7,5,5,4,07:34 AM,06:44 PM,06:32 AM,05:26 PM,10,15,16,15,16,8,71,0.0,1013,21,10,273,10
2020-01-27,22,12,0.0,8.7,5,5,11,08:13 AM,07:38 PM,06:32 AM,05:27 PM,10,16,17,16,17,3,68,0.0,1012,22,10,278,11
2020-01-28,26,13,0.0,8.7,5,5,18,08:48 AM,08:29 PM,06:32 AM,05:27 PM,10,19,19,19,9,26,60,0.0,1012,26,10,169,5
2020-01-29,28,15,0.0,8.7,6,6,26,09:21 AM,09:21 PM,06:31 AM,05:28 PM,13,20,21,20,20,32,62,0.7,1013,28,10,74,12
2020-01-30,24,14,0.0,7.2,5,5,33,09:53 AM,10:10 PM,06:31 AM,05:29 PM,12,19,19,19,17,61,67,1.9,1013,24,9,293,9
2020-01-31,22,12,0.0,8.7,5,5,37,10:24 AM,11:01 PM,06:30 AM,05:30 PM,8,16,16,16,21,0,59,0.0,1014,22,10,266,13
2020-02-01,22,12,0.0,8.7,5,5,49,10:56 AM,11:52 PM,06:30 AM,05:30 PM,8,16,17,16,16,0,57,0.0,1016,22,10,274,10
2020-02-02,21,10,0.0,8.7,5,5,57,11:30 AM,No moonset,06:30 AM,05:31 PM,6,14,15,14,22,0,57,0.0,1017,21,10,278,14
2020-02-03,22,9,0.0,8.7,5,5,64,12:07 PM,12:45 AM,06:29 AM,05:32 PM,6,15,16,15,17,0,55,0.0,1017,22,10,281,10
2020-02-04,25,11,0.0,8.7,5,5,72,12:49 PM,01:41 AM,06:29 AM,05:33 PM,7,18,18,18,8,2,50,0.0,1015,25,10,240,5
2020-02-05,24,12,0.0,8.7,5,5,79,01:37 PM,02:38 AM,06:28 AM,05:33 PM,7,17,17,17,17,8,54,0.0,1014,24,10,281,10
2020-02-06,23,11,0.0,8.7,5,5,87,02:30 PM,03:38 AM,06:28 AM,05:34 PM,8,17,18,17,14,0,56,0.0,1015,23,10,282,9
2020-02-07,24,12,0.0,8.7,5,5,95,03:31 PM,04:37 AM,06:27 AM,05:35 PM,7,18,18,18,7,7,50,0.0,1017,24,10,212,4
2020-02-08,24,14,0.0,8.7,5,5,100,04:35 PM,05:34 AM,06:26 AM,05:35 PM,6,18,18,18,15,24,47,0.0,1018,24,10,329,9
2020-02-09,23,13,0.0,8.7,5,5,100,05:43 PM,06:27 AM,06:26 AM,05:36 PM,4,17,17,17,16,6,44,0.0,1019,23,10,278,10
2020-02-10,24,11,0.0,8.7,5,5,83,06:50 PM,07:16 AM,06:25 AM,05:37 PM,7,16,17,16,20,0,53,0.0,1017,24,10,292,12
2020-02-11,24,11,0.0,8.7,5,5,75,07:57 PM,08:01 AM,06:25 AM,05:37 PM,6,16,17,16,19,1,50,0.0,1018,24,10,282,11
2020-02-12,24,10,0.0,8.7,5,5,68,09:01 PM,08:43 AM,06:24 AM,05:38 PM,7,16,17,16,20,0,53,0.0,1017,24,10,285,12
