date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,-12,-24,1.3,6.9,1,1,3,08:08 AM,04:14 PM,09:19 AM,06:08 PM,-18,-20,-17,-20,9,75,91,1.4,1019,-12,7,341,5
2020-01-24,-11,-18,1.2,3.3,1,1,0,08:59 AM,05:13 PM,09:18 AM,06:09 PM,-16,-21,-15,-21,15,100,90,1.5,1016,-11,6,240,11
2020-01-25,-17,-25,1.8,3.4,1,1,0,09:41 AM,06:16 PM,09:17 AM,06:11 PM,-20,-28,-19,-28,21,97,95,2.1,1023,-17,3,333,16
2020-01-26,-17,-27,0.0,8.7,2,2,4,10:14 AM,07:24 PM,09:15 AM,06:12 PM,-24,-28,-23,-28,12,39,91,0.0,1020,-17,8,198,7
2020-01-27,-14,-25,0.0,8.7,2,2,11,10:40 AM,08:30 PM,09:14 AM,06:14 PM,-23,-24,-21,-24,9,19,88,0.0,1024,-14,7,212,5
2020-01-28,-7,-17,0.0,5.2,1,1,18,11:03 AM,09:37 PM,09:13 AM,06:16 PM,-16,-16,-13,-16,8,59,82,0.0,1027,-7,8,268,4
2020-01-29,-8,-16,0.3,3.4,1,1,26,11:22 AM,10:42 PM,09:12 AM,06:17 PM,-14,-16,-13,-16,10,67,91,0.6,1027,-8,8,229,5
2020-01-30,-9,-17,0.1,8.7,2,2,33,11:40 AM,11:48 PM,09:10 AM,06:19 PM,-16,-19,-15,-19,14,37,91,0.0,1024,-9,10,239,8
2020-01-31,-10,-18,0.0,8.7,2,2,37,11:57 AM,No moonset,09:09 AM,06:21 PM,-18,-20,-16,-20,13,29,83,0.0,1020,-10,10,230,7
2020-02-01,-10,-20,0.0,8.7,1,1,49,12:14 PM,12:52 AM,09:07 AM,06:23 PM,-19,-18,-16,-18,5,23,81,0.0,1019,-10,9,317,3
