date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,27,27,0.0,6.6,6,6,3,05:12 AM,06:55 PM,06:15 AM,07:26 PM,24,30,30,27,35,80,85,16.5,1011,27,9,11,22
2020-01-24,27,27,0.0,10.3,6,6,0,06:06 AM,07:43 PM,06:16 AM,07:26 PM,24,31,31,27,29,63,87,6.1,1012,27,9,34,20
2020-01-25,27,26,0.0,6.5,6,6,0,07:01 AM,08:26 PM,06:17 AM,07:26 PM,24,30,30,27,30,85,87,11.7,1011,27,9,36,21
2020-01-26,26,19,0.0,7.8,6,6,4,07:54 AM,09:06 PM,06:17 AM,07:26 PM,23,27,27,24,27,67,86,30.1,1011,26,8,99,19
2020-01-27,27,21,0.0,6.5,6,6,11,08:46 AM,09:42 PM,06:18 AM,07:25 PM,23,29,29,25,40,74,85,66.2,1012,27,8,47,25
2020-01-28,28,26,0.0,6.5,6,6,18,09:36 AM,10:16 PM,06:19 AM,07:25 PM,24,30,30,27,32,83,84,14.5,1012,28,8,166,21
2020-01-29,27,26,0.0,6.5,6,6,26,10:24 AM,10:49 PM,06:19 AM,07:25 PM,24,30,30,26,32,80,85,1.8,1012,27,10,119,23
2020-01-30,27,26,0.0,6.5,6,6,33,11:13 AM,11:23 PM,06:20 AM,07:25 PM,24,30,30,27,47,72,83,2.4,1012,27,10,115,34
2020-01-31,26,26,0.0,7.8,6,6,37,12:01 PM,11:57 PM,06:20 AM,07:24 PM,23,29,29,26,38,63,83,2.4,1009,26,10,134,28
2020-02-01,27,26,0.0,6.5,6,6,49,12:51 PM,No moonset,06:21 AM,07:24 PM,23,29,29,26,33,77,82,13.4,1006,27,9,135,22
2020-02-02,27,21,0.0,7.8,6,6,57,01:43 PM,12:33 AM,06:22 AM,07:23 PM,23,28,28,25,36,72,83,0.8,1008,27,10,121,27
