date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,32,14,0.0,13.0,7,7,3,04:09 AM,05:45 PM,05:41 AM,06:44 PM,12,24,24,24,16,5,56,0.0,1012,32,10,119,10
2020-01-24,32,16,0.0,13.0,7,7,0,05:04 AM,06:35 PM,05:41 AM,06:44 PM,13,25,25,24,15,17,60,0.0,1014,32,10,94,10
2020-01-25,32,16,0.0,13.0,7,7,0,05:58 AM,07:22 PM,05:42 AM,06:44 PM,14,25,25,24,12,11,60,0.0,1014,32,10,131,8
2020-01-26,34,16,0.0,13.0,8,8,4,06:52 AM,08:04 PM,05:43 AM,06:43 PM,13,27,27,26,12,15,53,0.0,1013,34,10,149,7
2020-01-27,34,17,0.0,13.0,8,8,11,07:43 AM,08:42 PM,05:43 AM,06:43 PM,13,27,27,26,17,11,51,0.0,1012,34,10,127,11
2020-01-28,30,19,0.0,9.4,6,6,18,08:33 AM,09:19 PM,05:44 AM,06:43 PM,16,25,25,24,20,59,65,1.9,1014,30,10,128,14
2020-01-29,30,16,0.0,13.0,7,7,26,09:22 AM,09:53 PM,05:45 AM,06:43 PM,15,23,23,23,14,37,65,0.4,1014,30,10,90,9
2020-01-30,31,18,0.0,13.0,7,7,33,10:09 AM,10:27 PM,05:45 AM,06:43 PM,13,24,24,24,17,39,56,0.2,1015,31,10,114,12
2020-01-31,31,17,0.0,13.0,7,7,37,10:57 AM,11:01 PM,05:46 AM,06:42 PM,12,24,24,23,14,16,54,0.0,1016,31,10,82,10
2020-02-01,32,17,0.0,13.0,7,7,49,11:45 AM,11:37 PM,05:46 AM,06:42 PM,10,26,26,25,20,12,47,0.0,1014,32,10,106,14
2020-02-02,32,16,0.0,13.0,7,7,57,12:34 PM,No moonset,05:47 AM,06:42 PM,11,24,24,24,18,13,49,0.0,1015,32,10,108,12
2020-02-03,30,16,0.0,12.9,7,7,64,01:27 PM,12:15 AM,05:47 AM,06:41 PM,13,24,24,24,18,19,54,0.0,1015,30,10,116,12
2020-02-04,31,16,0.0,12.9,7,7,72,02:22 PM,12:58 AM,05:48 AM,06:41 PM,15,24,24,24,13,37,63,3.1,1014,31,10,130,8
2020-02-05,30,18,0.0,10.6,6,6,79,03:19 PM,01:45 AM,05:48 AM,06:41 PM,17,25,25,24,10,70,71,12.4,1013,30,9,90,6
2020-02-06,31,18,0.0,9.4,6,6,87,04:18 PM,02:38 AM,05:49 AM,06:40 PM,17,25,25,25,8,70,69,14.0,1012,31,8,183,5
2020-02-07,26,19,0.0,8.1,5,5,95,05:17 PM,03:36 AM,05:50 AM,06:40 PM,18,22,22,21,14,67,82,26.0,1013,26,8,27,8
2020-02-08,24,18,0.0,8.1,5,5,100,06:13 PM,04:38 AM,05:50 AM,06:39 PM,18,20,20,20,12,67,91,13.7,1014,24,8,131,7
2020-02-09,24,18,0.0,8.1,5,5,100,07:06 PM,05:44 AM,05:51 AM,06:39 PM,18,20,21,20,14,68,90,5.8,1012,24,7,235,9
2020-02-10,24,18,0.0,8.1,5,5,83,07:55 PM,06:48 AM,05:51 AM,06:39 PM,19,20,21,20,15,79,91,26.0,1011,24,8,238,9
2020-02-11,22,19,0.0,8.0,5,5,75,08:41 PM,07:52 AM,05:52 AM,06:38 PM,18,20,21,20,17,84,90,9.0,1011,22,10,214,12
2020-02-12,21,18,0.0,9.3,4,4,68,09:25 PM,08:54 AM,05:52 AM,06:38 PM,17,19,19,19,28,79,86,1.3,1012,21,10,137,19
2020-02-13,26,18,0.0,11.9,6,6,60,10:08 PM,09:54 AM,05:53 AM,06:37 PM,16,22,22,21,22,50,75,0.6,1013,26,9,114,15
