date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,25,19,0.0,7.1,5,5,3,06:30 AM,05:47 PM,07:30 AM,06:42 PM,18,24,24,22,15,55,77,0.6,1014,25,10,107,9
2020-01-24,26,22,0.0,5.6,5,5,0,07:22 AM,06:41 PM,07:30 AM,06:43 PM,20,25,25,23,14,65,79,2.3,1016,26,10,150,9
2020-01-25,26,21,0.0,11.1,6,6,0,08:08 AM,07:35 PM,07:30 AM,06:43 PM,19,25,25,23,17,39,76,0.6,1017,26,10,52,11
2020-01-26,27,22,0.0,11.1,7,7,4,08:51 AM,08:27 PM,07:30 AM,06:44 PM,19,26,26,24,17,17,74,0.0,1016,27,10,130,11
2020-01-27,27,21,0.0,11.1,6,6,11,09:31 AM,09:17 PM,07:30 AM,06:44 PM,20,26,26,24,15,21,78,0.0,1014,27,10,158,10
2020-01-28,27,21,0.0,11.2,6,6,18,10:07 AM,10:05 PM,07:29 AM,06:45 PM,21,26,26,24,14,30,84,0.0,1012,27,8,104,9
2020-01-29,28,24,0.0,10.1,6,6,26,10:42 AM,10:53 PM,07:29 AM,06:46 PM,22,28,28,25,17,43,82,0.2,1012,28,10,132,11
2020-01-30,27,21,0.0,10.1,5,5,33,11:16 AM,11:41 PM,07:29 AM,06:46 PM,22,26,26,24,15,49,87,0.3,1013,27,9,80,10
2020-01-31,28,24,0.0,8.6,6,6,37,11:50 AM,No moonset,07:29 AM,06:47 PM,22,28,28,26,21,49,82,0.2,1013,28,10,136,14
2020-02-01,29,23,0.0,7.1,6,6,49,12:25 PM,12:28 AM,07:28 AM,06:47 PM,22,27,27,25,21,69,83,6.9,1017,29,10,242,13
2020-02-02,26,19,0.0,11.2,6,6,57,01:04 PM,01:18 AM,07:28 AM,06:48 PM,16,23,23,22,21,14,71,0.0,1020,26,10,141,14
2020-02-03,26,20,0.0,11.2,6,6,64,01:45 PM,02:10 AM,07:28 AM,06:48 PM,17,24,24,23,19,18,71,0.0,1017,26,10,97,12
2020-02-04,28,23,0.0,7.1,6,6,72,02:31 PM,03:04 AM,07:28 AM,06:49 PM,22,28,28,25,20,64,82,1.7,1014,28,10,123,14
2020-02-05,29,25,0.0,8.6,6,6,79,03:23 PM,04:01 AM,07:27 AM,06:50 PM,23,29,29,26,30,59,81,0.5,1010,29,10,134,20
2020-02-06,29,25,0.0,11.2,7,7,87,04:20 PM,05:00 AM,07:27 AM,06:50 PM,23,30,30,26,25,21,83,0.0,1007,29,10,135,17
2020-02-07,25,23,0.0,5.6,5,5,95,05:23 PM,05:59 AM,07:26 AM,06:51 PM,21,26,26,24,23,84,84,0.3,1013,25,9,239,16
2020-02-08,28,23,0.0,7.1,6,6,100,06:27 PM,06:55 AM,07:26 AM,06:51 PM,22,28,28,26,21,70,80,2.1,1016,28,10,113,14
2020-02-09,29,25,0.0,8.6,6,6,100,07:32 PM,07:49 AM,07:26 AM,06:52 PM,22,28,28,26,25,53,77,0.1,1017,29,10,108,17
