date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,29,23,0.0,11.6,7,7,3,06:42 AM,06:12 PM,07:43 AM,07:05 PM,20,28,28,25,14,36,74,2.6,1014,29,10,167,9
2020-01-24,29,22,0.0,11.6,7,7,0,07:34 AM,07:06 PM,07:43 AM,07:06 PM,20,28,28,25,13,27,74,0.3,1014,29,10,194,9
2020-01-25,29,23,0.0,10.2,6,6,0,08:21 AM,07:59 PM,07:43 AM,07:06 PM,21,28,28,26,12,35,76,2.8,1015,29,10,176,8
2020-01-26,29,23,0.0,11.6,7,7,4,09:05 AM,08:49 PM,07:43 AM,07:07 PM,20,28,28,26,13,17,73,0.0,1015,29,10,187,9
2020-01-27,30,22,0.0,11.6,7,7,11,09:46 AM,09:39 PM,07:43 AM,07:07 PM,20,28,28,26,20,9,74,0.0,1015,30,10,278,14
2020-01-28,29,23,0.0,11.6,7,7,18,10:23 AM,10:25 PM,07:42 AM,07:08 PM,21,28,28,26,16,20,75,0.0,1014,29,10,274,11
2020-01-29,30,23,0.0,11.6,7,7,26,10:59 AM,11:12 PM,07:42 AM,07:08 PM,21,28,28,26,14,6,74,0.0,1013,30,10,283,10
2020-01-30,30,23,0.0,11.6,7,7,33,11:35 AM,11:58 PM,07:42 AM,07:09 PM,21,28,28,26,13,26,71,0.0,1013,30,10,262,9
2020-01-31,30,24,0.0,11.6,7,7,37,12:10 PM,No moonset,07:42 AM,07:09 PM,21,29,29,27,13,11,70,0.0,1013,30,10,265,9
2020-02-01,30,24,0.0,8.7,6,6,49,12:46 PM,12:45 AM,07:42 AM,07:10 PM,22,29,29,27,12,41,75,1.5,1015,30,10,201,9
2020-02-02,30,24,0.0,11.6,7,7,57,01:26 PM,01:34 AM,07:42 AM,07:10 PM,21,29,29,27,12,16,71,0.1,1015,30,10,261,8
2020-02-03,31,24,0.0,11.6,7,7,64,02:08 PM,02:24 AM,07:41 AM,07:11 PM,20,29,29,27,12,13,66,0.0,1014,31,10,195,9
2020-02-04,30,24,0.0,11.6,7,7,72,02:56 PM,03:17 AM,07:41 AM,07:11 PM,20,29,29,27,16,8,68,0.0,1014,30,10,286,11
2020-02-05,31,23,0.0,11.6,7,7,79,03:48 PM,04:13 AM,07:41 AM,07:12 PM,20,28,28,26,18,14,67,0.0,1013,31,10,283,12
2020-02-06,31,23,0.0,11.6,7,7,87,04:46 PM,05:12 AM,07:41 AM,07:12 PM,20,29,29,27,17,9,67,0.0,1012,31,10,282,12
2020-02-07,30,24,0.0,11.6,7,7,95,05:48 PM,06:11 AM,07:40 AM,07:13 PM,20,29,29,27,13,14,69,0.0,1013,30,10,272,9
2020-02-08,30,24,0.0,10.2,7,7,100,06:51 PM,07:08 AM,07:40 AM,07:13 PM,22,30,30,27,13,35,74,0.1,1015,30,10,263,9
2020-02-09,30,24,0.0,11.6,7,7,100,07:55 PM,08:03 AM,07:40 AM,07:13 PM,21,29,29,27,10,18,68,0.0,1015,30,10,191,8
2020-02-10,31,24,0.0,11.6,7,7,83,08:57 PM,08:54 AM,07:39 AM,07:14 PM,19,29,29,27,15,7,63,0.0,1013,31,10,257,11
2020-02-11,31,24,0.0,11.6,7,7,75,09:57 PM,09:42 AM,07:39 AM,07:14 PM,20,29,29,27,16,11,67,0.0,1013,31,10,275,12
2020-02-12,31,25,0.0,10.2,7,7,68,10:56 PM,10:28 AM,07:39 AM,07:15 PM,20,30,30,27,13,39,67,1.3,1012,31,10,277,10
2020-02-13,32,24,0.0,10.2,6,6,60,11:55 PM,11:13 AM,07:38 AM,07:15 PM,21,30,30,27,17,57,71,3.1,1012,32,10,294,12
2020-02-14,31,24,0.0,11.6,7,7,53,No moonrise,11:58 AM,07:38 AM,07:15 PM,20,30,30,28,12,14,65,0.0,1013,31,10,270,9
2020-02-15,31,24,0.0,11.6,7,7,45,12:52 AM,12:43 PM,07:37 AM,07:16 PM,19,29,29,28,13,10,62,0.0,1014,31,10,249,10
2020-02-16,31,25,0.0,11.6,7,7,38,01:50 AM,01:32 PM,07:37 AM,07:16 PM,19,30,30,28,14,10,59,0.0,1012,31,10,189,10
