date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,12,5,0.0,8.9,2,2,3,04:54 AM,05:55 PM,06:06 AM,06:42 PM,4,6,7,6,9,50,82,3.0,1016,12,10,260,7
2020-01-24,11,5,0.0,8.9,2,2,0,05:48 AM,06:46 PM,06:06 AM,06:42 PM,4,7,7,7,7,63,83,10.2,1016,11,9,292,5
2020-01-25,9,5,0.0,6.2,2,2,0,06:40 AM,07:33 PM,06:07 AM,06:42 PM,4,5,6,5,9,82,89,11.6,1017,9,9,257,6
2020-01-26,10,1,8.0,6.2,2,2,4,07:31 AM,08:16 PM,06:07 AM,06:42 PM,4,5,6,5,9,79,87,32.8,1017,10,8,264,6
2020-01-27,13,4,0.0,8.9,2,2,11,08:19 AM,08:57 PM,06:07 AM,06:42 PM,4,7,8,7,8,45,77,11.4,1016,13,9,183,5
2020-01-28,11,5,0.0,6.2,2,2,18,09:05 AM,09:36 PM,06:08 AM,06:42 PM,5,7,8,7,9,81,86,10.4,1016,11,10,276,6
2020-01-29,10,6,0.0,6.2,2,2,26,09:50 AM,10:13 PM,06:08 AM,06:42 PM,5,6,7,6,9,81,89,9.3,1015,10,10,255,7
2020-01-30,10,4,0.0,6.2,2,2,33,10:34 AM,10:51 PM,06:09 AM,06:42 PM,5,6,7,6,8,72,86,12.0,1016,10,8,272,5
2020-01-31,11,5,0.0,6.2,2,2,37,11:19 AM,11:29 PM,06:09 AM,06:42 PM,5,6,7,6,10,79,85,20.3,1016,11,8,184,6
2020-02-01,11,4,0.0,6.2,2,2,49,12:04 PM,No moonset,06:09 AM,06:41 PM,5,6,8,6,9,84,83,16.9,1017,11,9,195,6
2020-02-02,11,3,0.0,6.2,2,2,57,12:51 PM,12:08 AM,06:10 AM,06:41 PM,5,6,7,6,10,77,86,23.0,1017,11,8,287,6
2020-02-03,11,5,0.0,6.2,2,2,64,01:42 PM,12:50 AM,06:10 AM,06:41 PM,5,7,7,7,8,77,83,28.3,1017,11,8,186,5
2020-02-04,10,4,0.0,7.5,2,2,72,02:35 PM,01:37 AM,06:10 AM,06:41 PM,5,7,7,7,8,69,85,22.5,1016,10,9,282,5
2020-02-05,11,5,0.0,7.5,2,2,79,03:32 PM,02:27 AM,06:11 AM,06:41 PM,5,7,7,7,10,70,82,9.0,1015,11,10,262,7
2020-02-06,10,5,0.0,10.2,2,2,87,04:30 PM,03:23 AM,06:11 AM,06:41 PM,4,6,7,6,8,62,84,8.8,1015,10,8,251,6
2020-02-07,10,4,0.0,7.5,2,2,95,05:29 PM,04:22 AM,06:11 AM,06:41 PM,5,6,7,6,8,72,86,7.0,1016,10,9,251,6
2020-02-08,10,5,0.0,6.1,2,2,100,06:26 PM,05:25 AM,06:12 AM,06:40 PM,5,6,7,6,8,78,88,17.0,1016,10,8,267,6
2020-02-09,10,4,0.0,6.1,2,2,100,07:22 PM,06:26 AM,06:12 AM,06:40 PM,5,6,7,6,8,67,88,10.1,1016,10,9,264,5
2020-02-10,12,4,4.8,6.1,2,2,83,08:13 PM,07:28 AM,06:12 AM,06:40 PM,5,6,7,6,8,78,83,27.8,1016,12,8,211,6
2020-02-11,12,6,0.0,7.5,2,2,75,09:03 PM,08:26 AM,06:12 AM,06:40 PM,5,8,8,8,9,65,80,15.3,1015,12,9,218,6
