date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,20,11,0.0,5.9,4,4,3,05:25 AM,05:17 PM,06:47 AM,06:27 PM,9,16,16,16,10,64,66,1.8,1015,20,10,150,8
2020-01-24,20,11,0.0,5.9,4,4,0,06:17 AM,06:10 PM,06:47 AM,06:27 PM,9,15,16,15,11,83,69,2.2,1016,20,9,135,9
2020-01-25,21,12,0.0,5.9,4,4,0,07:08 AM,07:02 PM,06:47 AM,06:28 PM,10,16,17,16,12,79,69,5.1,1017,21,9,123,9
2020-01-26,21,11,0.0,11.6,5,5,4,07:54 AM,07:52 PM,06:47 AM,06:28 PM,10,15,16,15,12,43,72,0.7,1017,21,10,143,9
2020-01-27,20,12,0.0,8.8,4,4,11,08:37 AM,08:39 PM,06:47 AM,06:28 PM,10,15,16,15,12,63,72,0.9,1016,20,10,125,10
2020-01-28,23,13,0.0,11.6,5,5,18,09:18 AM,09:26 PM,06:47 AM,06:29 PM,10,17,17,17,9,36,65,0.2,1015,23,10,149,8
2020-01-29,24,11,0.0,11.6,5,5,26,09:57 AM,10:10 PM,06:47 AM,06:29 PM,9,17,17,17,9,36,66,0.5,1015,24,10,144,7
2020-01-30,22,11,0.0,11.6,5,5,33,10:34 AM,10:54 PM,06:47 AM,06:30 PM,9,16,17,16,12,11,63,0.0,1016,22,10,117,10
2020-01-31,22,13,0.0,7.3,4,4,37,11:12 AM,11:38 PM,06:47 AM,06:30 PM,9,16,17,16,8,57,63,1.5,1015,22,10,149,7
2020-02-01,19,14,0.0,5.9,4,4,49,11:50 AM,No moonset,06:47 AM,06:30 PM,11,17,16,17,10,82,69,8.6,1015,19,9,135,8
2020-02-02,20,13,0.0,5.9,4,4,57,12:30 PM,12:23 AM,06:47 AM,06:31 PM,10,17,16,17,12,76,66,2.4,1016,20,10,118,10
