date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,37,25,0.0,11.6,8,8,3,05:36 AM,05:12 PM,06:50 AM,06:18 PM,-0,28,28,30,26,26,14,0.0,1012,37,10,69,16
2020-01-24,35,23,0.0,11.6,8,8,0,06:28 AM,06:06 PM,06:50 AM,06:18 PM,-7,27,27,29,30,13,10,0.0,1013,35,10,86,18
2020-01-25,37,20,0.0,11.6,8,8,0,07:18 AM,06:59 PM,06:50 AM,06:19 PM,-10,29,29,29,30,3,8,0.0,1014,37,10,86,18
2020-01-26,37,20,0.0,11.6,8,8,4,08:02 AM,07:50 PM,06:50 AM,06:19 PM,-10,29,29,28,28,10,8,0.0,1014,37,10,81,17
2020-01-27,36,20,0.0,11.6,7,7,11,08:44 AM,08:38 PM,06:50 AM,06:20 PM,-12,27,27,28,29,5,7,0.0,1013,36,10,79,18
2020-01-28,36,20,0.0,11.6,7,7,18,09:23 AM,09:26 PM,06:50 AM,06:20 PM,-14,28,28,28,28,2,6,0.0,1013,36,10,79,17
2020-01-29,37,19,0.0,11.6,8,8,26,10:00 AM,10:11 PM,06:50 AM,06:21 PM,-15,28,28,28,26,1,5,0.0,1013,37,10,81,16
2020-01-30,37,19,0.0,11.6,7,7,33,10:36 AM,10:57 PM,06:50 AM,06:21 PM,-9,27,27,28,28,0,9,0.0,1014,37,10,71,17
2020-01-31,37,19,0.0,11.6,7,7,37,11:12 AM,11:43 PM,06:49 AM,06:22 PM,-6,27,27,28,28,7,11,0.0,1014,37,10,82,17
2020-02-01,38,20,0.0,11.6,8,8,49,11:49 AM,No moonset,06:49 AM,06:22 PM,-6,28,28,28,28,11,11,0.0,1013,38,10,88,17
2020-02-02,36,19,0.0,11.6,7,7,57,12:28 PM,12:30 AM,06:49 AM,06:22 PM,-8,27,27,27,28,3,10,0.0,1014,36,10,65,17
2020-02-03,35,18,0.0,11.6,7,7,64,01:10 PM,01:19 AM,06:49 AM,06:23 PM,-10,27,27,27,25,4,9,0.0,1015,35,10,58,15
2020-02-04,34,17,0.0,11.6,7,7,72,01:57 PM,02:11 AM,06:49 AM,06:23 PM,-11,25,25,26,25,0,9,0.0,1015,34,10,71,15
2020-02-05,35,17,0.0,11.6,7,7,79,02:48 PM,03:07 AM,06:48 AM,06:24 PM,-10,25,25,26,27,0,9,0.0,1014,35,10,78,17
2020-02-06,34,17,0.0,11.6,7,7,87,03:45 PM,04:04 AM,06:48 AM,06:24 PM,-9,25,25,26,24,0,11,0.0,1013,34,10,70,15
2020-02-07,34,17,0.0,11.6,7,7,95,04:46 PM,05:03 AM,06:48 AM,06:24 PM,-8,25,25,25,28,0,11,0.0,1015,34,10,57,17
2020-02-08,35,17,0.0,11.6,7,7,100,05:49 PM,06:01 AM,06:48 AM,06:25 PM,-9,26,26,26,26,0,10,0.0,1014,35,10,73,16
2020-02-09,34,17,0.0,11.6,7,7,100,06:52 PM,06:57 AM,06:47 AM,06:25 PM,-9,26,26,25,22,4,10,0.0,1013,34,10,67,13
2020-02-10,34,21,0.0,11.6,7,7,83,07:54 PM,07:50 AM,06:47 AM,06:25 PM,-3,27,27,27,25,39,14,0.0,1013,34,10,61,16
2020-02-11,35,26,0.0,11.6,8,8,75,08:54 PM,08:39 AM,06:47 AM,06:26 PM,-3,28,28,29,36,30,13,0.0,1014,35,10,69,25
2020-02-12,36,20,0.0,11.6,7,7,68,09:52 PM,09:27 AM,06:46 AM,06:26 PM,-2,27,27,28,35,3,20,0.0,1014,36,10,80,23
