date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-23,28,14,0.0,10.1,5,5,3,06:35 AM,05:48 PM,07:35 AM,06:43 PM,14,21,21,21,8,22,72,0.0,1015,28,9,87,5
2020-01-24,29,16,0.0,5.6,5,5,0,07:27 AM,06:42 PM,07:34 AM,06:44 PM,16,22,22,21,7,80,77,0.1,1017,29,6,216,4
2020-01-25,30,16,0.0,11.1,6,6,0,08:13 AM,07:36 PM,07:34 AM,06:44 PM,16,23,23,22,9,29,73,0.0,1018,30,8,54,6
2020-01-26,31,18,0.0,11.1,7,7,4,08:56 AM,08:28 PM,07:34 AM,06:45 PM,17,25,25,24,10,45,74,0.0,1016,31,6,123,7
2020-01-27,31,18,0.0,10.1,7,7,11,09:35 AM,09:19 PM,07:34 AM,06:45 PM,17,25,25,24,9,35,71,0.0,1014,31,9,230,6
2020-01-28,33,19,0.0,10.1,7,7,18,10:10 AM,10:08 PM,07:34 AM,06:46 PM,19,27,27,26,7,51,72,0.2,1012,33,8,170,4
2020-01-29,32,20,0.0,8.6,6,6,26,10:45 AM,10:56 PM,07:33 AM,06:47 PM,20,27,27,25,8,75,81,5.9,1013,32,5,218,5
2020-01-30,31,18,0.0,8.6,6,6,33,11:19 AM,11:44 PM,07:33 AM,06:47 PM,19,25,25,23,8,53,79,0.5,1014,31,7,75,5
2020-01-31,32,21,0.0,5.6,6,6,37,11:52 AM,No moonset,07:33 AM,06:48 PM,21,27,27,26,9,82,81,3.3,1013,32,6,147,6
2020-02-01,24,18,0.0,5.6,5,5,49,12:27 PM,12:32 AM,07:33 AM,06:48 PM,20,24,24,22,12,76,89,15.8,1019,24,9,350,7
2020-02-02,26,15,0.0,10.1,5,5,57,01:05 PM,01:22 AM,07:32 AM,06:49 PM,13,20,21,20,11,20,71,0.0,1022,26,9,16,7
2020-02-03,29,14,0.0,11.2,6,6,64,01:46 PM,02:14 AM,07:32 AM,06:50 PM,14,23,23,22,11,6,71,0.0,1018,29,10,112,7
2020-02-04,30,17,0.0,5.6,5,5,72,02:32 PM,03:09 AM,07:32 AM,06:50 PM,19,24,24,23,10,70,82,0.1,1015,30,8,130,7
2020-02-05,32,22,0.0,8.6,6,6,79,03:24 PM,04:06 AM,07:31 AM,06:51 PM,21,28,28,26,15,57,78,0.1,1011,32,7,143,10
2020-02-06,35,21,0.0,10.1,7,7,87,04:21 PM,05:05 AM,07:31 AM,06:51 PM,20,30,30,28,14,43,74,1.4,1008,35,8,174,9
2020-02-07,26,19,0.0,7.1,5,5,95,05:23 PM,06:04 AM,07:30 AM,06:52 PM,16,23,23,22,12,65,72,1.2,1015,26,9,22,9
2020-02-08,32,19,0.0,5.6,6,6,100,06:28 PM,07:00 AM,07:30 AM,06:52 PM,19,25,25,24,10,64,78,1.6,1018,32,9,83,6
2020-02-09,32,20,0.0,10.1,6,6,100,07:33 PM,07:53 AM,07:29 AM,06:53 PM,20,26,26,25,13,58,75,0.2,1018,32,7,109,9
2020-02-10,32,20,0.0,10.1,6,6,83,08:37 PM,08:43 AM,07:29 AM,06:53 PM,19,27,27,26,13,50,73,0.0,1016,32,8,116,9
2020-02-11,33,21,0.0,8.6,6,6,75,09:40 PM,09:29 AM,07:29 AM,06:54 PM,20,29,29,27,13,56,74,0.2,1015,33,7,131,9
2020-02-12,33,22,0.0,11.3,7,7,68,10:41 PM,10:12 AM,07:28 AM,06:54 PM,20,29,29,27,15,27,70,0.0,1013,33,9,135,11
2020-02-13,33,21,0.0,10.1,6,6,60,11:42 PM,10:55 AM,07:27 AM,06:55 PM,19,29,29,26,13,49,70,0.0,1014,33,8,133,9
2020-02-14,35,20,0.0,11.3,7,7,53,No moonrise,11:38 AM,07:27 AM,06:55 PM,18,28,28,27,8,36,68,0.0,1017,35,8,112,5
2020-02-15,34,20,0.0,11.3,7,7,45,12:41 AM,12:22 PM,07:26 AM,06:56 PM,18,28,28,27,9,40,69,0.0,1018,34,7,84,6
2020-02-16,33,20,0.0,11.3,7,7,38,01:41 AM,01:09 PM,07:26 AM,06:56 PM,17,27,27,26,10,30,67,0.0,1016,33,7,105,6
2020-02-17,32,19,0.0,7.1,6,6,30,02:39 AM,01:58 PM,07:25 AM,06:57 PM,18,26,26,25,11,71,72,0.5,1015,32,6,117,7
2020-02-18,33,19,0.0,8.6,6,6,22,03:37 AM,02:49 PM,07:25 AM,06:57 PM,19,28,28,26,13,47,72,0.0,1015,33,8,112,8
